&| ˈʌ w
påskeæg|p ˈɒɒ s k ə  ε ɡ
påskeægsjagt|p ˈɒɒ s k ə  ε ɡ s j ˌa j t
påskriften|p ˈʔʌ s ɡ ʁ ˌʔe f d ə n
påskuddet|p ˈʔʌ s k ˌʔu ð ə ð
påskønne|p ˈʔʌ s k ˌʔœ n ə 
påskønnelse|p ˈʔʌ s k ˌʔœ n ə l s ə 
påskønnet|p ˈʔʌ s k ˌʔœ n ə ð
påskønning|p ˈʔʌ s k ˌʔœ n ʔe ŋ
påstand|p ˈʔʌ s t ˌa n
påstande|p ˈʔʌ s t ˌa n ə 
påstanden|p ˈʔʌ s t ˌa n ə n
påstod|p ˈʔʌ s t ˌʔo ð
påstå|p ˈʔʌ s t ˌɒ
påståede|p ˈʔʌ s t ˌɒ ə ð ə
påstået|p ˈʔʌ s t ˌɒ ə ð
påstår|p ˈʔʌ s t ˌɒ
påstås|p ˈʔʌ s t ˌɒ s
påsætte|p ˈʔʌ s ˌε t ə 
påtage|p ˈʔʌ t ˌa j ə
påtager|p ˈʔʌ t ˌ?ɑ ɐ̯
påtaget|p ˈʔʌ t ˌa j ə t
påtale|p ˈʔʌ t ˌa l ə 
påtaler|p ˈʔʌ t ˌa l ʔʌ 
påtog|p ˈʔʌ t ˌɒ w
påtrængende|p ˈʔʌ t ʁ ˌ?a ŋ ə n ə
påtvunget|p ˈʔʌ t ʋ ˌɒ ŋ ə ð
påtvungne|p ˈʔʌ t ʋ ˌɒ ŋ n ə 
påtænker|p ˈʔʌ t ˌε n k ʔʌ 
påtænkte|p ˈʔʌ t ˌε ŋ d ə
påvirke|p ˈʔʌ ʋ ʔi ɐ̯ k ə 
påvirkede|p ˈʔʌ ʋ ʔi ɐ̯ k ə ð ə
påvirker|p ˈʔʌ ʋ ʔi ɐ̯ k ˌʔʌ
påvirkes|p ˈʔʌ ʋ ʔi ɐ̯ k ə  s
påvirket|p ˈʔʌ ʋ ʔi ɐ̯ k ə ð
påvirkning|p ˈʔʌ ʋ ʔi ɐ̯ k n ˌʔe ŋ
påvirkningen|p ˈʔʌ ʋ ʔi ɐ̯ k n ˌʔe ŋ ə n
påvirkninger|p ˈʔʌ ʋ ʔi ɐ̯ k n ˌʔe ŋ ʔʌ
påviser|p ˈʔʌ ʋ i s ˌʔʌ 
påvises|p ˈʔʌ ʋ i s ə  s
påvist|p ˈʔʌ ʋ ʔi s t
på«|p ˈɒ
pædagogen|p ˌε d a ɡ ˈʔo ə n
pædagoger|p ˌε d a ɡ ˈʔo ʔʌ
pædagogerne|p ˈε d a ɡ ˌʔo ʔʌ n ə
pædagogernes|p ˈε d a ɡ ˌʔo ʔʌ n ə s
pædagoger«|p ˌε d a ɡ ˈʔo ʔʌ
pædagogfaget|p ˌε d a ɡ ˈʔo f a j ə t
pædagogisk|p ˌε d a ɡ ˈʔo ʔi s ɡ
pædagogiske|p ˌε d a ɡ ˈʔo ʔi s ɡ ə 
pædagogkollegaen|p ˌε d a ɡ ˈʔo k ʔo l ˌʔe ɡ a ə n
pædagogseminarium|p ˌε d a ɡ ˈʔo s ε m ˌʔi n ɑ ɐ̯ j ˌɒ m
pædagogstuderende|p ˌε d a ɡ ˈʔo s t u ð ˈʔe ɐ̯ ə n ə
pædagoguddannelsen|p ˌε d a ɡ ˈʔo ʔu ð d ˌa n ə l s ə n
pædagoguddannelserne|p ˌε d a ɡ ˈʔo ʔu ð d ˌa n ə l s ʔʌ n ə
pædiatrisk|p ˌε ð ʔi ˈa t ʁ i s k
pædofile|p ˌε ð o f ˈi l ə 
pæl|p ˈε l
pæle|p ˈɛ l ə 
pæledæk|p ˈɛ l ə ð ε k
pælerække|p ˈɛ l ə ʁ ?a k ə 
pænere|p ˈɛ n ʔʌ ʔʌ
pænt|p ˈε n t
pæon|p ˈε ʔo n
pæoner|p ˈε o n ˌʔʌ
pære|p ˈɛ ʔʌ 
pæredansk|p ˈɛ ʌ d ˌa n s k
pærer|p ˈɛ ʌ
péter|p ˈʔe t ʔʌ 
pøbelen|p ˈœ b ə l ə n
pølsemandsposer|p ˈʔœ l s ə m a n s p ˌo s ʔʌ 
pølser|p ˈʔœ l s ʔʌ 
pølserne|p ˈʔœ l s ʔʌ n ə
pølsesalgssteder|p ˈʔœ l s ə s a l s s t ˌε ð ʔʌ 
pølsevogn|p ˈʔœ l s ə ʋ ʔʌ w n
pølsevogne|p ˈʔœ l s ə ʋ ʔʌ w n ə
pølsevognen|p ˈʔœ l s ə ʋ ʔʌ w n ə n
pøse|p ˈœ s ə 
pøt|p ˈʔœ t
pütz|p ˈʔy t s
q|k ˈu
q&a|k ˈu  ˈʌ w ˈa
qaani|k ˈa a n ˌʔi
qaavigaq|k ˈa a ʋ ˌʔi ɡ ?ɑ k
qaeda|k ˈa ʔe ð ˌa
qaly|k ˈa l ʔy
qantas|k ˈa n t a s
qashqai|k ˈa s h k a ˌʔi
qasim|k ˈa s ʔi m
qassem|k ˈa s ε m
qassim|k ˈa s ʔi m
qatar|k a t ˈɑ
qatars|k a t ˈɑ s
qiushi|k ˈʔi ʔu s h ˌʔi
qr|k ˌu ˈɛ ɐ̯
quaade|k ˈʔu a ˌa ð ə 
quantum|k ˈʔu a n t ˌɒ m
quarterback|k w ˈɒ t ʌ b ˌ?ɑ k
quarterbacken|k w ˈɒ t ʌ b ˌ?ɑ k ə n
quartet|k ˈʔu ɑ t ə ð
quaye|k ˈʔu a ˌʔy ə 
quds|k ˈʔu ð s
queen|k w ˈiː n
queens|k w ˈiː n s
queensland|k w ˈiː n s l a n
queer|k ʔu ˈʔe ʔʌ
queitsch|k ˈʔu ʔe ˌʔi t ʃ
quentin|k ˈʔu ε n t ˌʔi n
querishi|k ˈʔu ʔe ʁ ˌʔi s h ʔi
quibi|k ˈʔu ʔi b ˌʔi
quick|k ˈʔu ʔi k
quickstep|k ˈʔu ʔi k s t ˌʔe p
quilling|k ˈʔu ʔi l ˌʔe ŋ
quincey|k ˈʔu ʔe n s ˌʔi
quintana|k ˈʔu ʔi n t ˌa n a
quique|k ʔu ˈʔi k
quist|k ˈʔu ʔi s t
quistgaard|k ˈʔu ʔi s t ɡ ˌa ɑ d
quiz|k ʋ ˈi s
quizaften|k ʋ ˈi s ?ɑ f d ə n
quizhoveder|k ʋ ˈi s h o ə ð ˌʔʌ 
quizze|k ʋ ˈi s ə 
quizzer|k ʋ ˈi s ʔʌ 
qun|k ˈʔu n
quo|k ˈʔu ʔo
quo«|k ˈʔu ʔo
qvick|k ʋ ˈʔi k
qvirin|k ʋ ˈʔi ʁ ʔi n
qvist|k ʋ ˈʔi s t
r|ˈɛ ɐ̯
r&a|ˈɛ ɐ̯  ˈʌ w ˈa
r&d|ˈɛ ɐ̯  ˈʌ w d ˈe
raab|ʁ ˈa a b
raadhuskroen|ʁ ˈa a ð h ˌʔu s ɡ ʁ ʔo ə n
raadvad|ʁ ˈa a ð ʋ ˌa ð
raadvads|ʁ ˈa a ð ʋ ˌa ð s
raafat|ʁ ˈa ?ɑ w ˌa t
raasdal|ʁ ˈa a s d ˌa l
rabalderstræde|ʁ ˈɑ b a l ˌʔʌ s t ʁ ɛ ð ə 
rabarbergårdens|ʁ ɑ b ˈɑ b ʌ ɡ ˌɒɒ ʔʌ n s
rabat|ʁ ɑ b ˈa d
rabatforbud|ʁ ɑ b ˈa d f ʌː b ˌʔu ð
rabatordning|ʁ ɑ b ˈa d ˈɒɒ d n ʔe ŋ
rabatordningen|ʁ ɑ b ˈa d ˈɒɒ d n ʔe ŋ ə n
rabatten|ʁ ɑ b ˈa d ə n
rabatter|ʁ ɑ b ˈa t ˈʔe ɐ̯
rabatterne|ʁ ɑ b ˈa t ʔʌ n ə
rabbinere|ʁ ?ɑ b ˈi n ʔʌ ʔʌ
rabbinerens|ʁ ?ɑ b ˈi n ʔʌ ɐ̯ ʔʌ n s
rabei|ʁ ˈɑ b ə  ʔi
rabiat|ʁ ˌ?ɑ b ʔi ˈa d
rabiate|ʁ ˌ?ɑ b ʔi ˈa d ə
rabiee|ʁ ˈ?ɑ b ʔi ˌʔe ə 
rabih|ʁ ˈ?ɑ b ʔi
rabjerg|ʁ ˈ?ɑ b j ε ɐ̯ w
rablen|ʁ ˈ?ɑ b l ə n
racecykler|ʁ ˈɑ s ʔe s ˌʔy k l ʔʌ 
racediskrimination|ʁ ˈɑ s ʔe ð ˌi s ɡ ʁ ʔi m ˌʔi n a ʃ ˌʔo n
racemæssig|ʁ ˈɑ s ε m ˌε s ʔi
racemæssigt|ʁ ˈɑ s ε m ˌε s ʔi t
raceprotester|ʁ ˈɑ s ʔe p ʁ ˌo t ε s t ˌʔʌ 
racer|ʁ ˈɑ s ʔʌ 
racerbane|ʁ ˈε s ʔʌ b ˌa n ə 
racerbanen|ʁ ˈε s ʔʌ b ˌa n ə n
racerbiler|ʁ ˈε s ʔʌ b ˌʔi l ʔʌ 
racere|ʁ ˈɑ s ʔʌ ʔʌ
racerent|ʁ ˈɑ s ʔʌ ə n t
racerkører|ʁ ˈε s ʔʌ k ˌœ ʔʌ
racerkøreren|ʁ ˈε s ʔʌ k ˌœ ʔʌ ɐ̯ ˌʔʌ n
racerløb|ʁ ˈɑ s ʔʌ l ˌʔœ b
racerunner|ʁ ˈɑ s ʔʌ ˌʔu n ʔʌ 
racesnak”|ʁ ˈɑ s ʔe s n ˌ?ɑ k
raceulighed|ʁ ˈɑ s ʔe ˌʔu l ʔi h ˌʔe ð
racevold|ʁ ˈɑ s ʔe ʋ ˌʔʌ l
racha|ʁ ˈ?ɑ ʃ a
rachall|ʁ ˈ?ɑ ʃ a l
rachel|ʁ ˈ?ɑ ʃ ə l
racing|ʁ ˈ?ɑ s ʔe ŋ
racisme|ʁ ?ɑ s ˈʔi s m ə
racismedebatten|ʁ ?ɑ s ˈʔi s m ə ð e b ˌa d ə n
racismefri|ʁ ?ɑ s ˈʔi s m ə f ʁ ʔi
racismen|ʁ ?ɑ s ˈʔi s m ə n
racismens|ʁ ?ɑ s ˈʔi s m ə n s
racismeparagraf|ʁ ?ɑ s ˈʔi s m ə p ɑ ʁ ˌ?ɑ ɡ ʁ ?ɑ f
racist|ʁ ?ɑ s ˈi s t
racistisk|ʁ ?ɑ s ˈi s t ʔi s ɡ
racistiske|ʁ ?ɑ s ˈi s t ʔi s ɡ ə 
racketlon|ʁ ˈ?ɑ k ʔe t l ˌʔʌ n
racusen|ʁ ˈɑ k ʔu s ə n
radar|ʁ ˈɑ d ɑ ɐ̯
radaren|ʁ ˈɑ d ɑ ɐ̯ ˌʔʌ n
radarer|ʁ ˈɑ d ɑ ɐ̯ ˌʔʌ 
radarflyleder|ʁ ˈɑ d ɑ ɐ̯ f l ˌy l ʔe ð ˌʔʌ 
rader|ʁ ɑ ð ˈʔe ɐ̯
radial|ʁ ˌ?ɑ ð ʔi ˈa l
radiator|ʁ ˌ?ɑ ð ʔi ˈa t ʌ
radiatoren|ʁ ˌ?ɑ ð ʔi ˈa t ʌ ˌʔʌ n
radikale|ʁ ˌ?ɑ ð ʔe k ˈa l ə
radikales|ʁ ˌ?ɑ ð ʔe k ˈa l ə  s
radikale«|ʁ ˌ?ɑ ð ʔe k ˈa l ə 
radikaliseres|ʁ ˌ?ɑ ð ʔe k ˌa l i s ˈʔe ɐ̯ ʔʌ s
radikaliseret|ʁ ˌ?ɑ ð ʔe k ˌa l i s ˈʔe ʌ ð
radikalisering|ʁ ˌ?ɑ ð ʔe k ˌa l i s ˈʔe ɐ̯ ʔe ŋ
radikalt|ʁ ˌ?ɑ ð ʔe k ˈa l t
radio|ʁ ˈɑ d j ʔo
radioavis|ʁ ˈɑ d j ʔo ˌa ʋ ʔi s
radioavisen|ʁ ˈɑ d j ʔo ˌa ʋ i s ə n
radiobil|ʁ ˈɑ d j ʔo b ˌʔi l
radioen|ʁ ˈɑ d j ʔo ə n
radioen«|ʁ ˈɑ d j ʔo ə n
radioerne|ʁ ˈɑ d j ʔo ˌʔʌ n ə
radiohead|ʁ ˈɑ d j o h ˌɛ d
radiointerview|ʁ ˌɑ d j ʔo ˌʔe n t ʔʌ ʋ j ˈu
radiokanalaen|ʁ ˈɑ d j ʔo k ˌa n a l ˌa ə n
radiokanalen|ʁ ˈɑ d j ʔo k ˌa n a l ə n
radiokommunikation|ʁ ˈɑ d j ʔo k ˌo m ʔu n ˌʔi k a ʃ ˌʔo n
radiokommunikationsudstyr|ʁ ˈɑ d j ʔo k ˌo m ʔu n ˌʔi k a ʃ ˌʔo n s ʔu ð s t ˌʔy ɐ̯
radiomarken|ʁ ˈɑ d j ʔo m ˌɑ k ə n
radioprogram|ʁ ˈɑ d j ʔo p ʁ ˌɒ ɡ ʁ ?ɑ m
radioprogrammet|ʁ ˈɑ d j ʔo p ʁ ˌɒ ɡ ʁ ?ɑ m ə ð
radiosignal|ʁ ˈɑ d j ʔo s ˌi n a l
radiosparx|ʁ ˈɑ d j ʔo s p ˌɑ ɡ s
radiostationen|ʁ ˈɑ d j ʔo s t ˌa ʃ o n ə n
radiostationer|ʁ ˈɑ d j ʔo s t ˌa ʃ o n ˌʔʌ 
radiovært|ʁ ˈɑ d j ʔo ʋ ˌε ɐ̯ t
radio’|ʁ ˈɑ d j ʔo
radisson|ʁ ˈ?ɑ ð ʔi s ˌʔʌ n
radius|ʁ ˈ?ɑ ð ʔi ˌʔu s
radulf|ʁ ˈɑ ð ʔu l f
radwan|ʁ ˈ?ɑ ð w a n
rafael|ʁ ˌɑ f a ˈe l
rafal|ʁ ˈɑ f a l
raffensperger|ʁ ˈ?ɑ f ə n s p ʔʌ ˌu ʔʌ
raffinerede|ʁ ˌ?ɑ f i n ˈʔe ɐ̯ ʔʌ ð ə
raffineret|ʁ ˌ?ɑ f i n ˈʔe ʌ ð
rafle|ʁ ˈ?ɑ f l ə 
raft|ʁ ˈ?ɑ f t
raftehegn|ʁ ˈ?ɑ f t ə h ?ɑ j n
ragna|ʁ ˈɑ ʔu n ˌa
ragnar|ʁ ˈɑ ʔu n ˌɑ
ragnarock|ʁ ˈɑ ʔu n ˌɑ ɐ̯ ʔʌ k
ragnhild|ʁ ˈ?ɑ j n h ʔi l
ragnvald|ʁ ˈ?ɑ j n ʋ a l
rahbek|ʁ ˈ?ɑ b ʔe k
rahbeks|ʁ ˈ?ɑ b ʔe k s
rahbæk|ʁ ˈ?ɑ b ε k
rahim|ʁ ˈ?ɑ h ʔe m
rahn|ʁ ˈ?ɑ n
rahrs|ʁ ˈ?ɑ ɐ̯ s
rai|ʁ ˈa ʔi
raidla|ʁ ˈa ʔi ð l ˌa
rail|ʁ ˈa ʔi l
rainbow|ʁ ˈa ʔi n b ˌʔo w
raja|ʁ ˈ?ɑ j a
rajan|ʁ ˈ?ɑ j a n
rajapaksa|ʁ ˈ?ɑ j a p ˌ?ɑ k s a
rajeeth|ʁ ˈ?ɑ j ʔe ˌʔe t h
rajovic|ʁ ˈ?ɑ j ɔ w ˌʔi k
raket|ʁ ?ɑ k ˈε t
raketfart|ʁ ?ɑ k ˈε t f ɑ t
raketforsøg|ʁ ?ɑ k ˈε t f ʌː s ˌʔœ j
raketten|ʁ ?ɑ k ˈε d ə n
raketter|ʁ ?ɑ k ˈε t ʔʌ 
rakker|ʁ ˈ?ɑ k ʔʌ
rakkerpak|ʁ ˈ?ɑ k ʔʌ p ˌ?ɑ k
raklev|ʁ ˈ?ɑ k l ʔe w
rakuten|ʁ ˈ?ɑ k u d ə n
ralf|ʁ ˈ?ɑ l f
ralph|ʁ ˈ?ɑ l f
ram|ʁ ˈ?ɑ m
ramadanen|ʁ ˌɑ m a ð ˈa n ə n
ramadani|ʁ ˌɑ m a ð a n ˈʔi
ramallah|ʁ ˈɑ m a l ˌa
ramasjang|ʁ ˈɑ m a s j ˌ?ɑ ŋ
ramaskrig|ʁ ˈɑ m a s k ʁ ˌʔi
ramboline|ʁ ˈ?ɑ m b o l ˌi n ə 
rambuktyveri|ʁ ˈ?ɑ m b u k t ˌyː w ʁ ʔi
rambøll|ʁ ˈ?ɑ m b ʔœ l
rambølls|ʁ ˈ?ɑ m b ʔœ l s
rami|ʁ ˈ?ɑ m ʔi
ramler|ʁ ˈ?ɑ m l ʔʌ 
ramløse|ʁ ˈ?ɑ m l ʔœ s ə 
ramme|ʁ ˈ?ɑ m ə
rammeaftale|ʁ ˈ?ɑ m ʔe ˌ?ɑ w t a l ə 
rammeaftalen|ʁ ˈ?ɑ m ʔe ˌ?ɑ w t a l ə n
rammedokumentet|ʁ ˌ?ɑ m ə ð ʔo k u m ˈε n t ə ð
rammen|ʁ ˈ?ɑ m ə n
rammende|ʁ ˈ?ɑ m ə n ə
rammer|ʁ ˈ?ɑ m ʔʌ
rammerne|ʁ ˈ?ɑ m ʔʌ n ə
rammer«|ʁ ˈ?ɑ m ʔʌ 
rammes|ʁ ˈ?ɑ m ə  s
rammesætning|ʁ ˈ?ɑ m ʔe s ˌε t n ʔe ŋ
rammevilkår|ʁ ˈ?ɑ m ʔe ʋ ˌʔi l k ɒɒ
ramos|ʁ ˈ?ɑ m ʔo s
rampe|ʁ ˈ?ɑ m p ə 
rampehandling|ʁ ˈ?ɑ m p ə h a n l ˌʔe ŋ
rampelyset|ʁ ˈ?ɑ m p ə l ʔy s ə ð
rampen|ʁ ˈ?ɑ m p ə n
ramper|ʁ ˈ?ɑ m p ʔʌ 
ramponerede|ʁ ˌ?ɑ m p o n ˈʔe ɐ̯ ʔʌ ð ə
ramps|ʁ ˈ?ɑ m p s
ramsing|ʁ ˈ?ɑ m s ʔe ŋ
ramsings|ʁ ˈ?ɑ m s ʔe ŋ s
ramsløg|ʁ ˈ?ɑ m s l ʔʌ j
ramt|ʁ ˈ?ɑ m t
ramte|ʁ ˈ?ɑ m d ə 
ramón|ʁ ˈɑ m n
ramø|ʁ ˈ?ɑ m ʔœ
rand|ʁ ˈ?ɑ n
randa|ʁ ˈ?ɑ n a
randbølvej|ʁ ˈ?ɑ n b ʔœ l ʋ ˌ?ɑ j
rande|ʁ ˈ?ɑ n ə 
randen|ʁ ˈ?ɑ n ə n
randers|ʁ ˈ?ɑ n ʔʌ s
randers'|ʁ ˈ?ɑ n ʔʌ s
randi|ʁ ˈ?ɑ n ʔi
randlisteøkse|ʁ ˈ?ɑ n l ʔe s t ˌʔe ʔœ k s ə 
randrup|ʁ ˈ?ɑ n ʁ ɒ p
randrusianere|ʁ ˌ?ɑ n ʁ ʔu s ʔi ˈa n ʔʌ ʔʌ
randrusianeren|ʁ ˌ?ɑ n ʁ ʔu s ʔi ˈa n ʌː ʌ n
randrusianerne|ʁ ˌ?ɑ n ʁ ʔu s ʔi ˈa n ʔʌ n ə
randrusianske|ʁ ˌ?ɑ n ʁ ʔu s ʔi ˈa n s k ə 
rangerede|ʁ ?ɑ ŋ ʃ ˈʔe ɐ̯ ʔʌ ð ə
rangerende|ʁ ?ɑ ŋ ʃ ˈʔe ɐ̯ ə n ə
rangerer|ʁ ?ɑ ŋ ʃ ˈʔe ʔʌ 
rangeret|ʁ ?ɑ ŋ ʃ ˈʔe ʌ ð
rangering|ʁ ?ɑ ŋ s j ˈʔe ɐ̯ ʔe ŋ
rangeringen|ʁ ?ɑ ŋ s j ˈʔe ɐ̯ ʔe ŋ ə n
rangers|ʁ ?ɑ ŋ s j ˈʔe ɐ̯ s
ranglede|ʁ ˈ?ɑ ŋ l ə ð ə
ranglet|ʁ ˈ?ɑ ŋ l ə ð
rangliste|ʁ ˈ?ɑ ŋ l ʔe s d ə 
ranglisten|ʁ ˈ?ɑ ŋ l ʔe s d ə n
rangorden|ʁ ˈ?ɑ n ɡ ɒ d ə n
rangordner|ʁ ˈ?ɑ n ɡ ɒɒ d n ˌʔʌ 
rank|ʁ ˈ?ɑ n k
ranker|ʁ ˈ?ɑ n k ʔʌ 
ranny|ʁ ˈ?ɑ n ʔy
ransage|ʁ ˈ?ɑ n s a j ə
ransagelser|ʁ ˈ?ɑ n s a j ə l s ˌʔʌ 
ransager|ʁ ˈ?ɑ n s a j ˌʌ
ransaget|ʁ ˈ?ɑ n s a j ə t
ransagning|ʁ ˈ?ɑ n s a j n ˌʔe ŋ
ransagningen|ʁ ˈ?ɑ n s a j n ˌʔe ŋ ə n
ransagninger|ʁ ˈ?ɑ n s a j n ˌʔe ŋ ʔʌ
ransagningerne|ʁ ˈ?ɑ n s a j n ˌʔe ŋ ʔʌ n ə
ransel|ʁ ˈ?ɑ n s ə l
ranthe|ʁ ˈ?ɑ n t h ə 
rantzausminde|ʁ ˈ?ɑ n t s ɑ w s m ˌʔe n ə 
rantzausvej|ʁ ˈ?ɑ n t s ɑ w s ʋ ˌ?ɑ j
ranum|ʁ ˈɑ n ɒ m
rap|ʁ ˈ?ɑ p
raphaël|ʁ ˈ?ɑ p h a ˌɛ l
rapid|ʁ ?ɑ p ˈʔi ð
rappe|ʁ ˈ?ɑ p ə 
rapper|ʁ ˈ?ɑ p ʔʌ
rappere|ʁ ˈ?ɑ p ʔʌ ʔʌ
rapperen|ʁ ˈ?ɑ p ʌː ʌ n
rappet|ʁ ˈ?ɑ p ə ð
rapport|ʁ ?ɑ p ˈɒ t
rapporten|ʁ ?ɑ p ˈɒ d ə n
rapportens|ʁ ?ɑ p ˈɒ t ə n s
rapporter|ʁ ?ɑ p ˈɒ t ʔʌ
rapportere|ʁ ?ɑ p ˌɒ t ˈʔe ʌ
rapporterede|ʁ ?ɑ p ˌɒ t ˈʔe ʌ ð ə 
rapporterer|ʁ ?ɑ p ˌɒ t ˈʔe ʌ ɐ̯
rapporteret|ʁ ?ɑ p ˌɒ t ˈʔe ʌ t
rapportering|ʁ ?ɑ p ˌɒ t ˈʔe ɐ̯ ʔe ŋ
rapporterne|ʁ ?ɑ p ˈɒ t ʔʌ n ə
rapportskriver|ʁ ?ɑ p ˈɒ t s ɡ ʁ ʔi ʋ ˌʔʌ 
raps|ʁ ˈ?ɑ p s
rapsfrø|ʁ ˈ?ɑ p s f ʁ ʔœ
rapsmarken|ʁ ˈ?ɑ p s m ɑ k ə n
raptekst|ʁ ˈ?ɑ p t ε k s t
raptus|ʁ ˈ?ɑ p t ʔu s
rare|ʁ ˈɑ ɑ
rarewine|ʁ ˈɑ ɑ  w ˌi n ə 
rart|ʁ ˈ?ɑ ɐ̯ t
ras|ʁ ˈɑ s
rasch|ʁ ˈ?ɑ ʃ
rasede|ʁ ˈɑ s ə ð ə
rasen|ʁ ˈɑ s ə n
rasende|ʁ ˈɑ s ə n ə
raser|ʁ ˈɑ s ʔʌ
raseret|ʁ ɑ s ˈʔe ʌ t
raseri|ʁ ˌɑ s ʔʌ ʁ ˈʔi
raserianfald|ʁ ˌɑ s ʔʌ ʁ ˈʔi a n f ˌa l
rashed|ʁ ˈ?ɑ s h ʔe ð
rashford|ʁ ˈ?ɑ s h f ʌː d
rashfords|ʁ ˈ?ɑ s h f ʌː d s
rashid|ʁ ˈ?ɑ s h ʔi ð
rasion|ʁ ˈ?ɑ ʃ ʔo n
rask|ʁ ˈ?ɑ s k
raske|ʁ ˈ?ɑ s k ə
raskmelding|ʁ ˈ?ɑ s k m ε l ˌʔe ŋ
raskmeldt|ʁ ˈ?ɑ s k m ε l t
raskmeldte|ʁ ˈ?ɑ s k m ε l d ə 
raskov|ʁ ˈ?ɑ s k ɔ w
raskt|ʁ ˈ?ɑ s k t
rasle|ʁ ˈ?ɑ s l ə 
rasler|ʁ ˈ?ɑ s l ʔʌ
raslet|ʁ ˈ?ɑ s l ə ð
rasmus|ʁ ˈ?ɑ s m ʔu s
rasmussen|ʁ ˈ?ɑ s m ʔu s ə n
rasmussens|ʁ ˈ?ɑ s m ʔu s ə n s
rasoulinia|ʁ ˈɑ s ɒ w l ˌʔi n ʔi ˌa
rass|ʁ ˈ?ɑ s
rasteplads|ʁ ˈ?ɑ s t ə p l a s
rastepladsen|ʁ ˈ?ɑ s t ə p l a s ə n
rastepladsens|ʁ ˈ?ɑ s t ə p l a s ə n s
rastløs|ʁ ˈ?ɑ s t l ʔœ s
rastløse|ʁ ˈ?ɑ s t l ʔœ s ə 
rastløshed|ʁ ˈ?ɑ s t l ʔœ s h ˌʔe ð
rastén|ʁ ?ɑ s t ˈʔe n
ratchasima|ʁ ˈ?ɑ t ʃ a s ˌʔi m a
ratcliffe|ʁ ˈ?ɑ t k l ɪ f ə 
ratebetalinger|ʁ ˈɑ t ə b ʔe t ˌa l ʔe ŋ ˌʔʌ
rater|ʁ ˈɑ t ʔʌ 
rathcke|ʁ ˈ?ɑ t h k ə 
rathje|ʁ ˈ?ɑ t j ə 
rathjes|ʁ ˈ?ɑ t j ə  s
rathlau|ʁ ˈ?ɑ t h l ɑ w
rathsach|ʁ ˈ?ɑ t h s ?ɑ ʃ
rating|ʁ ˈ?ɑ t ʔe ŋ
rationelle|ʁ ˈ?ɑ ʃ o n ˌε l l ə 
rationelt|ʁ ˈ?ɑ ʃ o n ˌε l t
rationerer|ʁ ?ɑ ʃ ˌʔo n ˈʔe ʌ ɐ̯
rattet|ʁ ˈ?ɑ t ə ð
rau|ʁ ˈɑ w
raun|ʁ ˈɑ w n
raunkjær|ʁ ˈɑ w n k j ε ɐ̯
rav|ʁ ˈ?ɑ w
ravage|ʁ ɑ ʋ ˈa ʃ ə
ravand|ʁ ˈɑ ʋ a n
ravens|ʁ ˈɑ ʋ ə n s
ravfund|ʁ ˈ?ɑ w f ɒ n
ravkammer|ʁ ˈ?ɑ w k ?ɑ m ˌʔʌ 
ravne|ʁ ˈ?ɑ w n ə 
ravnene|ʁ ˈ?ɑ w n ə n ə
ravnevej|ʁ ˈ?ɑ w n ə ʋ ?ɑ j
ravnholdt|ʁ ˈ?ɑ w n h ʔʌ l t
ravnsholtskolen|ʁ ˈ?ɑ w n s h ʔʌ l t s k ˌo l ə n
rayman|ʁ ˈ?ɑ j m a n
raymi|ʁ ˈ?ɑ j m ʔi
razan|ʁ ˈɑ s a n
razzia|ʁ ˈɑ d ʃ a
razziaen|ʁ ˈɑ d ʃ a ə n
rb|ˌɛ ɐ̯ b ˈe
rc|ˌɛ ɐ̯ s ˈe
rcs|ˌɛ ɐ̯ s ˌe ˈe s
re|ʁ ˈε
reading|ʁ ˈε a ð ˌʔe ŋ
reagan|ʁ ˈɛ ɡ a n
reagensglas|ʁ ˈε a ɡ ˌʔe n s ɡ l a s
reagensglassene|ʁ ˈε a ɡ ˌʔe n s ɡ l a s ə n ə
reagere|ʁ ˌε a ɡ ˈe ʔʌ
reagerede|ʁ ˌε a ɡ ˈe ɐ̯ ʔʌ ð ə
reagerer|ʁ ˌε a ɡ ˈe ʔʌ 
reageres|ʁ ˌε a ɡ ˈe ɐ̯ ʔʌ s
reageret|ʁ ˌε a ɡ ˈe ɐ̯ ʌ ð
reaktion|ʁ ˌε ?ɑ k ʃ ˈʔo n
reaktionen|ʁ ˌε ?ɑ k ʃ ˈʔo n ə n
reaktioner|ʁ ˌε ?ɑ k ʃ ˈʔo n ʔʌ
reaktionerne|ʁ ˌε ?ɑ k ʃ ˈʔo n ʔʌ n ə
reaktionær|ʁ ˌε ?ɑ k ʃ ˌʔo n ˈε ɐ̯
reaktor|ʁ ε ˈ?ɑ k t ʌ
real|ʁ ε ˈa l
realclearpolitics|ʁ ε ˈa l k l ʔe ˌɑ p ʔo l ˌʔi t ʔi k s
realdania|ʁ ε ˈa l a n ˌʔi a
realeksamen|ʁ ε ˈa l ə k s a m ə n
realisabel|ʁ ε ˌa l ʔi s ˈa b ε l
realisere|ʁ ε ˌa l i s ˈʔe ʔʌ
realiserer|ʁ ε ˌa l i s ˈʔe ʔʌ
realiseres|ʁ ε ˌa l i s ˈʔe ɐ̯ ʔʌ s
realiseret|ʁ ε ˌa l i s ˈʔe ʌ ð
