&|ɟ ˈəʊɜ v ˌaː2 
ðài|ɗ ˈaː2 j 
ðáng|ɗ ˈaːɜ ŋ 
ðây|ɗ ˈəɪ7 
ðò|ɗ ˈɔ2 
ðô|ɗ ˈo7 
ðôi|ɗ ˈo7 j 
ðông|ɗ ˈo7 ŋ 
ðược|ɗ ˌyə6 c 
ðại|ɗ ˈaː6 j 
ðặc|ɗ ˈa6 c 
ðến|ɗ ˌeɜ n 
ðọc|ɗ ˈɔ6 k 
ðồng|ɗ ˈo2 ŋ 
ðội|ɗ ˈo6 j 
ðức|ɗ ˈyɜ c 
òa|w ˈaː2
òa”|w ˈaː2 
òng|ˈɔ2 ŋ
óc|ˈɔɜ k
óe|w ˈɛɜ
ón|ˈɔɜ n
ô|ˈo7 
ôcái|ˈo7 k aːɜ j
ôhay|ˈo7 h a1 j
ôi|ˈo7 j
ôi”|ˈo7 j 
ôkìa|ˈo1  k ˈaː1  ˈi2  ˈaː7
ôliu|ˈo7 l i1 w 
ông|ˈo7 ŋ
ôngnửa|ˈo7 ŋ n yə4
ông’|ˈo7 ŋ 
ông”|ˈo7 ŋ 
ônkk|ˈo1  ˈɛ1 n əː2  k ˈaː1  k ˈaː7 
ôten|ˈo7 t̪ ɛ1 n
ôtô|ˈo7 t̪ o1
ôxy|ˈo7 s i1 
ổ|ˈo4 
ổi|ˈo4 j 
ổn|ˈo4 n 
õ|ˈɔ5 
õng|ˈɔ5 ŋ
ùa|ˈuə2
ùm|ˈu2 m
úm|ˈuɜ m
úng|ˈuɜ ŋ
úy|w ˈiɜ
übank| ˈuː7 b a1 ŋ k  
ý|ˈiɜ
ýhẳn|ˈiɜ h a4 n
ýtôi|ˈiɜ t̪ o1 j
ý”|ˈiɜ 
ăm|ˈa7 m
ăn|ˈa7 n
ăng|ˈa7 ŋ
ăn”|ˈa7 n 
ăn…đều|ˈa7 n ɗ ˈe2 w 
đ|d ˈəː7
đa|ɗ ˈaː7 
đai”|ɗ ˈaː7 j 
đakrông| d ˈa7 k ɹ ɒ1 ŋ  
đam|ɗ ˈaː7 m 
đan|ɗ ˈaː7 n 
đang|ɗ ˌaː1 ŋ 
đang…|ɗ ˌaː1 ŋ 
đanh|ɗ ˈe-7 ɲ
đantou|(en) d ˈaa n t uː1 (vi)
đau|ɗ ˈa7 w 
đài|ɗ ˈaː2 j 
đàm|ɗ ˈaː2 m 
đào|ɗ ˈaː2 w 
đá|ɗ ˈaːɜ 
đáng|ɗ ˈaːɜ ŋ 
đánh|ɗ ˈe-ɜ ɲ 
đáo|ɗ ˈaːɜ w 
đáp|ɗ ˈaːɜ p 
đáy|ɗ ˈaɜ j 
đây| d ˈa7 ii  
đã|ɗ ˌaː5 
đảm|ɗ ˈaː4 m 
đảo|ɗ ˈaː4 w 
đại|ɗ ˈaː6 j 
đạn|ɗ ˈaː6 n 
đạo|ɗ ˈaː6 w 
đạt|ɗ ˈaː6 t̪ 
đaắp|d ˈəː1  ˈaː1  ˈaɜ  p ˈe7 
đa”|ɗ ˈaː7 
đa…|ɗ ˈaː7 
đb|d ˌəː1 b ˈe7 
đbcsl|d ˌəː1 b ˌe1 s ˈe1 ˌɛɜ s ˈɛ7 l əː2 
đbqh|d ˌəː1 b ˌe1 k w ˌi1 h ˈaɜ t 
đbscl|d ˌəː1 b ˌe1 ˈɛɜ s s ˌe1 ˈɛ7 l əː2 
đbvn|d ˌəː1 b ˌe1 v ˌe1 ˈɛ7 n əː2 
đen|ɗ ˈɛ7 n
đen“”|ɗ ˈɛ7 n 
đen”|ɗ ˈɛ7 n 
đen…|ɗ ˈɛ7 n 
đen…nhưng|ɗ ˈɛ7 n ɲ ˌy1 ŋ 
đeo|ɗ ˈɛ7 w 
để|ɗ ˈɛ7 
đẹp|ɗ ˈɛ6 p 
đgnl|d ˌəː1 ð ˌe7 ˌɛ1 n əː2 ˈɛ7 l əː2 
đh|d ˌəː1 h ˈaɜ t 
đhcđ|d ˌəː1 h ˌaɜ t s ˌe1 d ˈəː7 
đhđcđ|d ˌəː1 h ˌaɜ t d ˈəː1 s ˌe1 d ˈəː7 
đi|ɗ ˈi7
đi'|ɗ ˈi7 
đia|ɗ ˈiə7
đin|ɗ ˈi7 n 
đinh|ɗ ˈi7 ɲ
đinh”|ɗ ˈi7 ɲ 
điên|ɗ ˈiɛ7 n
điên“|ɗ ˈiɛ7 n 
điên”|ɗ ˈiɛ7 n 
điêu|ɗ ˈiɛ7 w 
điêù|ɗ ˈiɛ7 u2
điều|ɗ ˈiɛ2 w 
điểm|ɗ ˈiɛ4 m 
điện|ɗ ˈiɛ6 n 
đình|ɗ ˈi2 ɲ 
đình”|ɗ ˈi2 ɲ 
đích|ɗ ˈiɜ c 
đĩa|ɗ ˈiə5 
địa|ɗ ˈiə6 
định|ɗ ˈi6 ɲ 
định”|ɗ ˈi6 ɲ 
điện|d ˈəː1  ˈi1  ˈɛ6    s ˈɜː1 k ə1 m f l ˌɛ1 k s    ˈɛ7 n əː2 
điền|ɗ ˈiɛ2 n 
điều|ɗ ˈiɛ2 w
điểm|ɗ ˈiɛ4 m 
điểm’|ɗ ˈiɛ4 m 
điểm”|ɗ ˈiɛ4 m 
điểm…|ɗ ˈiɛ4 m 
điển|ɗ ˈiɛ4 n
điệm|ɗ ˈiɛ6 m
điện|ɗ ˈiɛ6 n
điện’|ɗ ˈiɛ6 n 
điện”|ɗ ˈiɛ6 n 
điện…|ɗ ˈiɛ6 n 
điệu|ɗ ˈiɛ6 w 
đi’|ɗ ˈi7 
đi’’|ɗ ˈi7 
đi”|ɗ ˈi7 
đi…|ɗ ˈi7 
đk|d ˌəː1 k ˈaː7 
đkt|d ˌəː1 k ˌaː1 t ˈe7 
đkvđ|d ˌəː1 k ˌaː1 v ˌe1 d ˈəː7 
đmtmn|d ˌəː1 ˌɛ1 m əː2 t ˈe1 ˌɛ1 m əː2 ˈɛ7 n əː2 
đna|ɗ n ˈaː7 
đoa|ɗ w ˈaː7
đoan|ɗ w ˈaː7 n
đoàn|ɗ w ˈaː2 n 
đoán|ɗ w ˈaːɜ n 
đoạn|ɗ w ˈaː6 n 
đom|ɗ ˈɔ7 m
đon|ɗ ˈɔ7 n
đong”|ɗ ˈɔ7 ŋ 
đoàn|ɗ w ˈaː2 n 
đoàng|ɗ w ˈaː2 ŋ
đoái|ɗ w ˈaːɜ j
đoán|ɗ w ˈaːɜ n
đoòng|ɗ w ˈɔ2 ŋ 
đòi|ɗ ˈɔ2 j 
đó|ɗ ˈɔɜ 
đón|ɗ ˈɔɜ n 
đóng|ɗ ˈɔɜ ŋ 
đó”|ɗ ˈɔɜ 
đồng|ɗ ˈɔ7 ŋ 
đổi|ɗ ˈɔ7 i1 
đỏ|ɗ ˈɔ4 
đỏ”|ɗ ˈɔ4 
đơn|ɗ ˈɔ7 n 
đọng|ɗ ˈɔ6 ŋ 
đoạ|ɗ w ˈaː6
đoạn|ɗ w ˈaː6 n
đoản|ɗ w ˈaː4 n 
đoảng|ɗ w ˈaː4 ŋ
đqtg|d ˌəː1 k w ˌi1 t ˌe1 ð ˈe7 
đrinh|ɗ z ˈi7 ɲ 
đt|d ˌəː1 t ˈe7 
đtqg|d ˌəː1 t ˌe1 k w ˌi1 ð ˈe7 
đtvn|d ˌəː1 t ˌe1 v ˌe1 ˈɛ7 n əː2 
đtxd|d ˌəː1 t ˌe1 ˌiɜ c d ˈe7 
đu|ɗ ˈu7 
đua”|ɗ ˈuə7 
đun|ɗ ˈu7 n 
đung|ɗ ˈu7 ŋ
đuy|ɗ w ˈi7
đuôi|ɗ ˈuə7 j
đuôi”|ɗ ˈuə7 j 
đuổi|ɗ ˈuə4 j 
đúng|ɗ ˈuɜ ŋ 
đủ|ɗ ˈu4 
đưa| d ˈʌ7 ə1  
được| d ˈʌ7 ɒ1 k  
được|d ˈəː1  ˈu1  l ˈe1 t ə1   b ˈaː1  m ˈo6 t̪  b ˈe1   ˈəː6  s ˈe7 
đường|d ˈəː1  ˈu1  l ˈe1 t ə1   b ˈaː1  m ˈo6 t̪  b ˈe1   ˈəː2  ˈɛ1 n əː2  ð ˈe7 
được|d ˈəː1  ˈu1  l ˈe1 t ə1   b ˈaː1  m ˈo6 t̪  b ˈe1   ˈəː6  s ˈe7 
đuối”|ɗ ˈuəɜ j 
đuống|ɗ ˈuəɜ ŋ 
đuồn|ɗ ˈuə2 n 
đuổi|ɗ ˈuə4 j
đuỗn|ɗ ˈuə5 n 
đuộc|ɗ ˈuə6 c 
đuột|ɗ ˈuə6 t̪
đuợc|ɗ w ˈəː6 c
đvhd|d ˌəː1 v ˌe1 h ˌaɜ t d ˈe7 
đvtn|d ˌəː1 v ˌe1 t ˌe1 ˈɛ7 n əː2 
đà|ɗ ˈaː2
đài|ɗ ˈaː2 j 
đài'|ɗ ˈaː2 j 
đài“|ɗ ˈaː2 j 
đài”|ɗ ˈaː2 j 
đài…|ɗ ˈaː2 j 
đàm|ɗ ˈaː2 m
đàn|ɗ ˈaː2 n
đàn”|ɗ ˈaː2 n 
đào|ɗ ˈaː2 w
đào”|ɗ ˈaː2 w 
đàu|ɗ ˈa2 w 
đà”|ɗ ˈaː2 
đá|ɗ ˈaːɜ 
đác|ɗ ˈaːɜ c
đám|ɗ ˈaːɜ m 
đáng|ɗ ˈaːɜ ŋ 
đáng”|ɗ ˈaːɜ ŋ 
đánh|ɗ ˈe-ɜ ɲ
đánh”|ɗ ˈe-ɜ ɲ 
đáo|ɗ ˈaːɜ w
đáp|ɗ ˈaːɜ p
đáu|ɗ ˈaɜ w 
đáy|ɗ ˈaɜ j 
đáy”|ɗ ˈaɜ j 
đá”|ɗ ˈaːɜ 
đâm|ɗ ˈə7 m
đân|ɗ ˈə7 n 
đâu|ɗ ˈə1 w 
đâụ|ɗ ˈə7 u6 
đâu”|ɗ ˈə1 w 
đây|ɗ ˈəɪ7
đây”|ɗ ˈəɪ7 
đây…|ɗ ˈəɪ7 
đâý|ɗ ˈə7 iɜ
đầu|ɗ ˈə2 w 
đầy|ɗ ˈəɪ2 
đất|ɗ ˈəɜ t̪ 
đấu|ɗ ˈəɜ w 
đẩy|ɗ ˈəɪ4 
đậu|ɗ ˈə6 w 
đã|ɗ ˌaː5
đãi”|ɗ ˈaː5 j 
đão|ɗ ˈaː5 w 
đã…”|ɗ ˌaː5 
đèn”|ɗ ˈɛ2 n 
đèo|ɗ ˈɛ2 w 
đéc|ɗ ˈɛɜ c
đém|ɗ ˈɛɜ m 
đét|ɗ ˈɛɜ t̪
đê|ɗ ˈe7 
đêm|ɗ ˈe7 m
đêm”|ɗ ˈe7 m 
đêm…|ɗ ˈe7 m 
đênh|ɗ ˈe7 ɲ
đêu|ɗ ˈe1 w
đề|ɗ ˈe2 
đều|ɗ ˈe2 w 
đến|ɗ ˌeɜ n 
để|ɗ ˌe4 
đệm|ɗ ˈe6 m 
đêּm|d ˈəː1  ˈe1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ7 m əː2 
đình|ɗ ˈi2 ɲ
đìnhvỗ|ɗ ˈi2 ɲ v o5
đình”|ɗ ˈi2 ɲ 
đình…|ɗ ˈi2 ɲ 
đình…”|ɗ ˈi2 ɲ 
đìu|ɗ ˈi2 w
đích|ɗ ˈiɜ c
đích”|ɗ ˈiɜ c 
đò|ɗ ˈɔ2
đòi|ɗ ˈɔ2 j
đòn|ɗ ˈɔ2 n
đòng|ɗ ˈɔ2 ŋ
đòn”|ɗ ˈɔ2 n 
đòong|ɗ ˈɔ2 ɔ1 ŋ 
đò”|ɗ ˈɔ2 
đó|ɗ ˈɔɜ
đóa|ɗ w ˈaːɜ
đóan|ɗ w ˈaːɜ n
đói|ɗ ˈɔɜ j
đóm|ɗ ˈɔɜ m
đón|ɗ ˈɔɜ n
đóng|ɗ ˈɔɜ ŋ 
đóng”|ɗ ˈɔɜ ŋ 
đót|ɗ ˈɔɜ t̪ 
đó”|ɗ ˈɔɜ 
đô|ɗ ˈo7 
đôc|ɗ ˈo7 k 
đôi|ɗ ˈo7 j 
đôi’|ɗ ˈo7 j 
đôi”|ɗ ˈo7 j 
đôla|ɗ ˈo7 l aː1 
đôm|ɗ ˈo7 m
đôn|ɗ ˈo7 n
đông|ɗ ˈo7 ŋ 
đông”|ɗ ˈo7 ŋ 
đông…|ɗ ˈo7 ŋ 
đôsc|ɗ ˈo7 s c
đồ|ɗ ˈo2 
đồng|ɗ ˈo2 ŋ 
đốc|ɗ ˈoɜ k 
đối|ɗ ˈoɜ j 
đỗ|ɗ ˈo5 
đổ|ɗ ˈo4 
đổi|ɗ ˈo4 j 
độ|ɗ ˈo6 
độc|ɗ ˈo6 k 
đội|ɗ ˈo6 j 
động|ɗ ˈo6 ŋ 
đô”|ɗ ˈo7 
đùa|ɗ ˈuə2
đùi|ɗ ˈu2 j
đùn|ɗ ˈu2 n
đúa|ɗ ˈuəɜ 
đúc|ɗ ˈuɜ c
đúm|ɗ ˈuɜ m
đúng|ɗ ˈuɜ ŋ
đúng”|ɗ ˈuɜ ŋ 
đúp”|ɗ ˈuɜ p 
đăc|ɗ ˈa7 c 
đăk| d ˈa7 k  
đăng|ɗ ˈa7 ŋ
đắt|ɗ ˈaɜ t̪ 
đẳng|ɗ ˈa4 ŋ 
đặc|ɗ ˈa6 c 
đặt|ɗ ˈa6 t̪ 
đĩ|ɗ ˈi5
đĩnh|ɗ ˈi5 ɲ
đũi|ɗ ˈu5 j
đơn|ɗ ˈəː7 n
đơn“|ɗ ˈəː7 n 
đơn”|ɗ ˈəː7 n 
đời|ɗ ˈəː2 j 
đỡ|ɗ ˈəː5 
đưa|ɗ ˈyə7 
đưòng|ɗ ˈy7 ɔ2 ŋ
đươc|ɗ ˈyə7 c
đương|ɗ ˈyə7 ŋ 
đười|ɗ ˈyə2 j 
đường|ɗ ˈyə2 ŋ 
được|ɗ ˌyə6 c 
đứa|ɗ ˈyəɜ 
đứng|ɗ ˈyɜ ŋ 
đựng|ɗ ˈy6 ŋ 
đưọc|ɗ ˈy7 ɔ6 k
đưọoc|ɗ ˈy7 ɔ6 ˌɔ1 k
đưới|ɗ ˈyəɜ j 
đướng|ɗ ˈyəɜ ŋ 
đười|ɗ ˈyə2 j
đườn|ɗ ˈyə2 n
đường|ɗ ˈyə2 ŋ
đườnghô|ɗ ˈyə2 ŋ o1 
đường”|ɗ ˈyə2 ŋ 
được|ɗ ˌyə6 c
được’|ɗ ˌyə6 c 
được“|ɗ ˌyə6 c 
được”|ɗ ˌyə6 c 
được…|ɗ ˌyə6 c 
được…”|ɗ ˌyə6 c 
đượϲ|d ˈəː1  ˈy1  ˈəː6  l ˈe1 t ə1   b ˈaː1  ˈɛɜ p  h ˈaːɪ7  
đȇm|d ˌəː1 l ˌe1 t ə1  h ˈaːɪ1  x ˌo1 ŋ   b ˌaɪ4  ˈɛ7 m əː2 
đ̷àn|ɗ ˈaː2 n 
đ̷ánh|ɗ ˈe-ɜ ɲ 
đіều|d ˈəː1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈe2  ˈu7 
đіểm|d ˈəː1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈe4  ˈɛ7 m əː2 
đіện|d ˈəː1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈe6  ˈɛ7 n əː2 
đạ|ɗ ˈaː6 
đạch|ɗ ˈe-6 c
đại|ɗ ˈaː6 j
đại”|ɗ ˈaː6 j 
đạm|ɗ ˈaː6 m
đạn|ɗ ˈaː6 n
đạn’|ɗ ˈaː6 n 
đạo|ɗ ˈaː6 w
đạo”|ɗ ˈaː6 w 
đậu|ɗ ˈaː6 u1 
đậy|ɗ ˈaː6 i1 
đặc|ɗ ˈaː6 c 
đạі|d ˈəː1  ˈaː6    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
đạּo|d ˈəː1  ˈaː6    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɔ7 
đạּo…|d ˈəː1  ˈaː6    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɔ7 
đả|ɗ ˈaː4
đải|ɗ ˈaː4 j 
đảm|ɗ ˈaː4 m 
đản|ɗ ˈaː4 n
đảng|ɗ ˈaː4 ŋ
đảnh|ɗ ˈe-4 ɲ
đảo|ɗ ˈaː4 w 
đảo”|ɗ ˈaː4 w 
đảo…|ɗ ˈaː4 w 
đất|ɗ ˈəɜ t̪
đất”|ɗ ˈəɜ t̪ 
đấu|ɗ ˈəɜ w 
đấu”|ɗ ˈəɜ w 
đấu…|ɗ ˈəɜ w 
đấy|ɗ ˈəɪɜ
đấy…|ɗ ˈəɪɜ 
đầm|ɗ ˈə2 m
đầu|ɗ ˈə2 w
đầu'|ɗ ˈə2 w 
đầutư|ɗ ˈə2 w t̪ y1 
đầu’|ɗ ˈə2 w 
đầu”|ɗ ˈə2 w 
đầy|ɗ ˈəɪ2
đẩy|ɗ ˈəɪ4
đẩy”|ɗ ˈəɪ4 
đẫn|ɗ ˈə5 n
đẫy|ɗ ˈəɪ5
đẫy”|ɗ ˈəɪ5 
đận|ɗ ˈə6 n
đật|ɗ ˈə6 t̪
đậu|ɗ ˈə6 w 
đắc|ɗ ˈaɜ c
đắk|ɗ ˈaɜ c 
đắn|ɗ ˈaɜ n
đắng’|ɗ ˈaɜ ŋ 
đắng”|ɗ ˈaɜ ŋ 
đằng|ɗ ˈa2 ŋ
đẳng|ɗ ˈa4 ŋ 
đẵn|ɗ ˈa5 n
đẵng|ɗ ˈa5 ŋ
đặc|ɗ ˈa6 c
đặn|ɗ ˈa6 n
đặp|ɗ ˈa6 p 
đặt|ɗ ˈa6 t̪ 
đẹn|ɗ ˈɛ6 n
đẹp|ɗ ˈɛ6 p
đẹpmy| d ˌiː1  s t ɹ ˌəʊəʊ k  l ˌe1 t ə1  m ˈo1 z t̪  ə1  b ˌe1  tʃ ii d n  p ˌiː1  ˌɛ1 m w ˈaɪ7  
đẹp”|ɗ ˈɛ6 p 
đẻ|ɗ ˈɛ4 
đẽ|ɗ ˈɛ5
đế|ɗ ˈeɜ
đếch|ɗ ˈeɜ c
đếm|ɗ ˈeɜ m 
đến|ɗ ˌeɜ n
đến”|ɗ ˌeɜ n 
đế”|ɗ ˈeɜ 
đề|ɗ ˈe2
đềm|ɗ ˈe2 m
đền|ɗ ˈe2 n 
đềnh|ɗ ˈe2 ɲ
đề”|ɗ ˈe2 
để|ɗ ˌe4
đểnh|ɗ ˈe4 ɲ
đểu|ɗ ˈe4 w 
đểu”|ɗ ˈe4 w 
để…|ɗ ˌe4 
đễnh|ɗ ˈe5 ɲ
đệ|ɗ ˈe6 
đệ“|ɗ ˈe6 
đỉnh|ɗ ˈi4 ɲ
đỉnh”|ɗ ˈi4 ɲ 
địa|ɗ ˈiə6 
địch|ɗ ˈi6 c
địch”|ɗ ˈi6 c 
định|ɗ ˈi6 ɲ
địnhvà|ɗ ˈi6 ɲ v aː2 
định’|ɗ ˈi6 ɲ 
định”|ɗ ˈi6 ɲ 
định…|ɗ ˈi6 ɲ 
địnһ|d ˈəː1  ˈi6  ˈɛ1 n əː2    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  b ˈe1  b ˈe7  
địu|ɗ ˈi6 w
đọa|ɗ ˈo7 aː6
đọc|ɗ ˈɔ6 k
đọc”|ɗ ˈɔ6 k 
đọt|ɗ ˈɔ6 t̪ 
độ|ɗ ˈɔ6 
độc|ɗ ˈɔ6 c 
động|ɗ ˈɔ6 ŋ 
đột|ɗ ˈɔ6 t̪ 
đỏ|ɗ ˈɔ4
đỏchứa| d ˌiː1  s t ɹ ˌəʊəʊ k  l ˌe1 t ə1  m ˈo1 z t̪  ə1  s ˌe1  ə1 d p  s ˌiː1  ˈeɪ1 tʃ   d ˈəː1  ˈɔ4  s ˈe1  h ˈaɜ t  ˈyɜ  ˈaː7 
đỏng|ɗ ˈɔ4 ŋ
đỏ’|ɗ ˈɔ4 
đỏ“|ɗ ˈɔ4 
đỏ”|ɗ ˈɔ4 
đỏ…|ɗ ˈɔ4 
đố|ɗ ˈoɜ 
đốc|ɗ ˈoɜ k
đối|ɗ ˈoɜ j
đối”|ɗ ˈoɜ j 
đốm’|ɗ ˈoɜ m 
đốn|ɗ ˈoɜ n 
đống|ɗ ˈoɜ ŋ
đốp|ɗ ˈoɜ p
đốt|ɗ ˈoɜ t̪ 
đồ|ɗ ˈo2
đồi|ɗ ˈo2 j
đồi…|ɗ ˈo2 j 
đồm|ɗ ˈo2 m
đồng|ɗ ˈo2 ŋ
đồng”|ɗ ˈo2 ŋ 
đồn”|ɗ ˈo2 n 
đồ”|ɗ ˈo2 
đồ…|ɗ ˈo2 
đổ|ɗ ˈo4
đổi|ɗ ˈo4 j
đổi”|ɗ ˈo4 j 
đổng|ɗ ˈo4 ŋ
đổ’|ɗ ˈo4 
đổ“|ɗ ˈo4 
đổ”|ɗ ˈo4 
độ|ɗ ˈo6
độc|ɗ ˈo6 k
độc”|ɗ ˈo6 k 
đội|ɗ ˈo6 j
đội”|ɗ ˈo6 j 
động|ɗ ˈo6 ŋ
động'|ɗ ˈo6 ŋ 
động”|ɗ ˈo6 ŋ 
động…|ɗ ˈo6 ŋ 
độn”|ɗ ˈo6 n 
độp|ɗ ˈo6 p
độ”|ɗ ˈo6 
độ…|ɗ ˈo6 
đới”|ɗ ˈəːɜ j 
đớn|ɗ ˈəːɜ n
đớn”|ɗ ˈəːɜ n 
đời|ɗ ˈəː2 j
đời“|ɗ ˈəː2 j 
đời”|ɗ ˈəː2 j 
đời…|ɗ ˈəː2 j 
đờm…|ɗ ˈəː2 m 
đở|ɗ ˈəː4 
đởi|ɗ ˈəː4 j
đởm|ɗ ˈəː4 m
đởn|ɗ ˈəː4 n
đỡ|ɗ ˈəː5
đỡ”|ɗ ˈəː5 
đợi|ɗ ˈəː6 j 
đợp|ɗ ˈəː6 p
đợt|ɗ ˈəː6 t̪ 
đục|ɗ ˈu6 c 
đủ|ɗ ˈu4
đủi|ɗ ˈu4 j
đủng|ɗ ˈu4 ŋ
đủ…|ɗ ˈu4 
đứ|ɗ ˈyɜ 
đứa|ɗ ˈyəɜ
đức|ɗ ˈyɜ c
đức”|ɗ ˈyɜ c 
đức…|ɗ ˈyɜ c 
đứng|ɗ ˈyɜ ŋ 
đứng”|ɗ ˈyɜ ŋ 
đứt|ɗ ˈyɜ t̪
đứt”|ɗ ˈyɜ t̪ 
đừ|ɗ ˈy2
đừng|ɗ ˈy2 ŋ
đừ”|ɗ ˈy2 
đự|ɗ ˈy6 
đựợc|ɗ ˈy6 əː6 c 
ħìnħ|h ˈi2 ɲ 
ħội|h ˈo6 j 
ĩ|ˈi5
ƅiến|l ˈe1 t ə1  m ˈo6 t̪  t̪ ˈaːɜ m  n ˈa1 m   ˈi1  ˈeɜ  ˈɛ7 n əː2 
ƅáo|ˈaːɜ w 
ƅên|ˈe7 n 
ƅóng’|ˈɔɜ ŋ 
ƅướm|ˈyəɜ m 
ƅạn|ˈaː6 n 
ƅản|ˈaː4 n 
ƅất|ˈəɜ t̪ 
ƅận|ˈə6 n 
ƅắt|ˈaɜ t̪ 
ƅị|ˈi6 
ƅố|ˈoɜ 
ƅởi|ˈəː4 j 
ơ|ˈəː7
ơi|ˈəː7 j
ơi’|ˈəː7 j 
ơn|ˈəː7 n
ơn’|ˈəː7 n 
ơn…|ˈəː7 n 
ở|ˈəː4 
ư|ˈy7
ưu|ˈi7 w
ưu”|ˈi7 w 
ươm|ˈyə7 m
ươm”|ˈyə7 m 
ương|ˈyə7 ŋ
ương”|ˈyə7 ŋ 
ướp|ˈyəɜ p 
ứng|ˈyɜ ŋ 
ước”|ˈyəɜ c 
ướm|ˈyəɜ m
ướp|ˈyəɜ p 
ườn|ˈyə2 n
ường|ˈyə2 ŋ
ưỡn|ˈyə5 n
ược|ˈyə6 c
ɋuá|k w ˈaːɜ 
ɖêm|ɗ ˈe7 m 
ɖó|ɗ ˈɔɜ 
ɖại|ɗ ˈaː6 j 
ɖề|ɗ ˈe2 
ɗo|z ˈɔ7 
ɗù|z ˈu2 
ɫhu|  ˌɛ1 l  t ˈɪ1 l d ə1    h ˈaɜ t  ˈu7 
ɫiền|  ˌɛ1 l  t ˈɪ1 l d ə1    ˈi1  ˈe2  ˈɛ7 n əː2 
ʀượu|ˈyə6 w 
̀|  ɡ ɹ ˈɑː7 v   
̀a|ˈaː7 
̀nh|ɲ 
̀o|ˈɔ7 
́|  ɐɐ k j ˈuː7 t   
́c|c 
́ch|c 
̃ng|ŋ 
̉|l ˈe1 t ə1   b ˈaː1  x ˌo1 ŋ  tʃ ˈiɜ n  
̉i|ˈi7 
̉n|n 
̉ng|ŋ 
̣a|ˈaː7 
̣c|c 
̣nh|ɲ 
βarra| b ˈiː7 t ə1  ˌa1 ɹ ə1  
βị|b ˈe1  t̪ ˈaː1 i6 
μatіlda|m w ˈi1  ˈaː1  t ˈe1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈɛ1 l əː2  d ˈe1  ˈaː7 
μіllіe|m w ˈi1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈɛ1 l əː2  ˈɛ1 l əː2    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈɛ7 
νһưng|n w ˈi1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  b ˈe1  b ˈe1   ˈy1  ˈɛ1 n əː2  ð ˈe7 
ρіxі|ʐ ˈo1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ   ˈiɜ c    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
τhể|t̪ ˈo1 h ɛ1 
τhể|t̪ ˈo1 h e4 
τrở|t̪ ˈo1 z əː4 
τһờі|t̪ ˈo1    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  b ˈe1  b ˈe1   ˈəː2    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
ϑà|ˈaː2 
ϲhỉ|l ˈe1 t ə1   b ˈaː1  ˈɛɜ p  h ˈaːɪ1   h ˈaɜ t  ˈi4 
ϲuộϲ|l ˈe1 t ə1   b ˈaː1  ˈɛɜ p  h ˈaːɪ1   ˈu1  ˈo6  l ˈe1 t ə1   b ˈaː1  ˈɛɜ p  h ˈaːɪ7  
ϲáϲh|l ˈe1 t ə1   b ˈaː1  ˈɛɜ p  h ˈaːɪ1   ˈaːɜ  l ˈe1 t ə1   b ˈaː1  ˈɛɜ p  h ˈaːɪ1   h ˈaɜ t 
