&| ˈe 
variada|v ˌɐ ɾ i  ˈa d ɐ
variadas|v ˌɐ ɾ i  ˈa d ɐ ʃ
variado|v ˌɐ ɾ i  ˈa d ʊ
variados|v ˌɐ ɾ i  ˈa d ʊ ʃ
variam|v ˌɐ ɾ ˈi  ɐ̃ʊ̃
variando|v ˌɐ ɾ i  ˈɐ̃ ŋ d ʊ
variante|v ˌɐ ɾ i  ˈɐ̃ ŋ t ɨ
variantes|v ˌɐ ɾ i  ˈɐ̃ ŋ t ɨ ʃ
variar|v ˌɐ ɾ i  ˈa ɹ
variassem|v ˌɐ ɾ i  ˈa s eɪ ŋ
variação|v ˌɐ ɾ i  ɐ s ˈɐ̃ʊ̃
variações|v ˌɐ ɾ i  ɐ s ˈõ j ʃ
varicela|v ˌɐ ɾ i s ˈɛ l ɐ
varie|v ˌɐ ɾ ˈi  ɨ
variedade|v ˌɐ ɾ i  ɨ d ˈa d ɨ
variedades|v ˌɐ ɾ i  ɨ d ˈa d ɨ ʃ
variety|v ˌɐ ɾ i  ˈe t i
varinhas|v ˌɐ ɾ ˈi ɲ ɐ ʃ
varios|v ɐ ɾ ˈiʊ ʃ
varistop|v ˌɐ ɾ i ʃ t ˈɔ p
varizes|v ˌɐ ɾ ˈi z ɨ ʃ
variáveis|v ˌɐ ɾ i  ˈa v eɪ ʃ
variável|v ˌɐ ɾ i  ˈa v ˌɛ l
variância|v ˌɐ ɾ j ˈɐ̃ ŋ s j ɐ
varluci|v ˌɐ ɾ ə l u s ˈi
varonil|v ˌɐ ɾ u n ˈi l
varra|v ˈa ʁ ɐ
varre|v ˈa ʁ ɨ
varredura|v ˌɐ ʁ ɨ d ˈu ɾ ɐ
varrendo|v ˌɐ ʁ ˈeɪ ŋ d ʊ
varrer|v ɐ ʁ ˈe ɹ
varreu|v ɐ ʁ ˈeʊ
varria|v ˌɐ ʁ ˈi  ɐ
varrido|v ˌɐ ʁ ˈi d ʊ
varrição|v ˌɐ ʁ i s ˈɐ̃ʊ̃
varsóvia|v ˌɐ ɾ ə s ˈɔ v j ɐ
vartuhi|v ˌɐ ɾ ə t u ˈi
varzagan|v ˌɐ ɾ ə z ɐ ɡ ˈɐ̃ ŋ
varzinista|v ˌɐ ɾ ə z i n ˈi ʃ t ɐ
varão|v ɐ ɾ ˈɐ̃ʊ̃
varíola|v ˌɐ ɾ ˈi  ʊ l ɐ
vasas|v ˈa z ɐ ʃ
vascas|v ˈa ʃ k ɐ ʃ
vascaína|v ˌɐ ʃ k ɐ ˈi n ɐ
vascaíno|v ˌɐ ʃ k ɐ ˈi n ʊ
vascaínos|v ˌɐ ʃ k ɐ ˈi n ʊ ʃ
vasco|v ˈa ʃ k ʊ
vasconcellos|v ˌɐ ʃ k u ŋ s ˈɛ l ʊ ʃ
vasconcelos|v ˌɐ ʃ k u ŋ s ˈe l ʊ ʃ
vascular|v ˌɐ ʃ k u l ˈa ɹ
vasculares|v ˌɐ ʃ k u l ˈa ɾ ɨ ʃ
vasculha|v ˌɐ ʃ k ˈu ʎ ɐ
vasculhando|v ˌɐ ʃ k u ʎ ˈɐ̃ ŋ d ʊ
vasculhar|v ˌɐ ʃ k u ʎ ˈa ɹ
vasculhava|v ˌɐ ʃ k u ʎ ˈa v ɐ
vasculhou|v ˌɐ ʃ k u ʎ ˈo w
vasilevskiy|v ˌɐ z i l ˈe v s k j i
vasilha|v ˌɐ z ˈi ʎ ɐ
vasilhame|v ˌɐ z i ʎ ˈɐ̃ m ɨ
vasilhas|v ˌɐ z ˈi ʎ ɐ ʃ
vasily|v ˌɐ z ˈi l i
vaso|v ˈa z ʊ
vasodilatadoras|v ˌɐ z u d ˌi l ɐ t ɐ d ˈo ɾ ɐ ʃ
vasos|v ˈa z ʊ ʃ
vasos”|v ˈa z ʊ ʃ
vasques|v ˈa ʃ k ɨ ʃ
vasquez|v ɐ ʃ k ˈe ʃ
vassalagem|v ˌɐ s ɐ l ˈa ʒ eɪ ŋ
vassily|v ˌɐ s ˈi l i
vassoler|v ˌɐ s u l ˈe ɹ
vassoura|v ˌɐ s ˈo w ɾ ɐ
vassouradas|v ˌɐ s u w ɾ ˈa d ɐ ʃ
vassouras|v ˌɐ s ˈo w ɾ ɐ ʃ
vasta|v ˈa ʃ t ɐ
vastas|v ˈa ʃ t ɐ ʃ
vastos|v ˈa ʃ t ʊ ʃ
vasu|v ɐ z ˈu
vasylivka|v ˌɐ z i l ˈi v k ɐ
vaticana|v ˌɐ t i k ˈɐ̃ n ɐ
vaticano|v ˌɐ t i k ˈɐ̃ n ʊ
vaud|v ˈaʊ d
vava|v ˈa v ɐ
vavá|v ɐ v ˈa
vaz|v ˈa ʃ
vazada|v ˌɐ z ˈa d ɐ
vazadas|v ˌɐ z ˈa d ɐ ʃ
vazado|v ˌɐ z ˈa d ʊ
vazados|v ˌɐ z ˈa d ʊ ʃ
vazam|v ˈa z ɐ̃ʊ̃
vazamentos|v ˌɐ z ɐ m ˈeɪ ŋ t ʊ ʃ
vazante|v ˌɐ z ˈɐ̃ ŋ t ɨ
vazar|v ɐ z ˈa ɹ
vazaram|v ˌɐ z ˈa ɾ ɐ̃ʊ̃
vazava|v ˌɐ z ˈa v ɐ
vazem|v ˈa z eɪ ŋ
vazia|v ˌɐ z ˈi  ɐ
vazias|v ˌɐ z ˈi  ɐ ʃ
vazia’|v ˌɐ z ˈi  ɐ
vazia”|v ˌɐ z ˈi  ɐ
vazio|v ɐ z ˈiʊ
vazios|v ɐ z ˈiʊ ʃ
vazio’|v ɐ z ˈiʊ
vazio”|v ɐ z ˈiʊ
vazou|v ɐ z ˈo w
vazão|v ɐ z ˈɐ̃ʊ̃
vazões|v ɐ z ˈõ j ʃ
vação|v ɐ s ˈɐ̃ʊ̃
vc|v ˌe s ˈe
ve|v ˈɨ
veados|v ˌi  ˈa d ʊ ʃ
veb|v ˈe b
veber|v ɨ b ˈe ɹ
vec|v ˈe k
vecchio|v ˌɛ ʃ ˈiʊ
vecchione|v ˌɛ ʃ i  ˈo n ɨ
vecina|v ˌe s ˈi n ɐ
vectra|v ˈɛ t ɹ ɐ
veda|v ˈɛ d ɐ
vedacit|v ˌe d ɐ s ˈi t
vedada|v ˌe d ˈa d ɐ
vedadas|v ˌe d ˈa d ɐ ʃ
vedado|v ˌe d ˈa d ʊ
vedar|v ɨ d ˈa ɹ
vedação|v ˌe d ɐ s ˈɐ̃ʊ̃
vedações|v ˌe d ɐ s ˈõ j ʃ
vedovato|v ˌe d u v ˈa t ʊ
vedovelli|v ˌe d u v ɨ l ˈi
veem|v ˈi  eɪ ŋ
veemente|v ˌi  ɨ m ˈeɪ ŋ t ɨ
veementemente|v ˌi  ɨ m ˌeɪ ŋ t ɨ m ˈeɪ ŋ t ɨ
veementemente”|v ˌi  ɨ m ˌeɪ ŋ t ɨ m ˈeɪ ŋ t ɨ
veementes|v ˌi  ɨ m ˈeɪ ŋ t ɨ ʃ
veemência|v ˌi  ɨ m ˈeɪ ŋ s j ɐ
veever|v ˌi  ɨ v ˈe ɹ
vega|v ˈɛ ɡ ɐ
vegan|v ɨ ɡ ˈɐ̃ ŋ
vegana|v ˌe ɡ ˈɐ̃ n ɐ
veganas|v ˌe ɡ ˈɐ̃ n ɐ ʃ
veganismo|v ˌe ɡ ɐ n ˈi ʒ m ʊ
veganos|v ˌe ɡ ˈɐ̃ n ʊ ʃ
vegas|v ˈe ɡ ɐ ʃ
vegetais|v ˌe ʒ ɨ t ˈaɪ ʃ
vegetal|v ˌe ʒ ɨ t ˈɑ l
vegetando|v ˌe ʒ ɨ t ˈɐ̃ ŋ d ʊ
vegetar|v ˌe ʒ ɨ t ˈa ɹ
vegetariana|v ˌe ʒ ɨ t ˌɐ ɾ i  ˈɐ̃ n ɐ
vegetarianas|v ˌe ʒ ɨ t ˌɐ ɾ i  ˈɐ̃ n ɐ ʃ
vegetarianizar|v ˌe ʒ ɨ t ˌɐ ɾ i  ɐ n i z ˈa ɹ
vegetativa|v ˌe ʒ ɨ t ɐ t ˈi v ɐ
vegetativo|v ˌe ʒ ɨ t ɐ t ˈi v ʊ
vegetação|v ˌe ʒ ɨ t ɐ s ˈɐ̃ʊ̃
vehemente|v ˌe ɨ m ˈeɪ ŋ t ɨ
veia|v ˈeɪ  ɐ
veias|v ˈeɪ  ɐ ʃ
veicula|v ˌeɪ k ˈu l ɐ
veiculada|v ˌeɪ k u l ˈa d ɐ
veiculadas|v ˌeɪ k u l ˈa d ɐ ʃ
veiculado|v ˌeɪ k u l ˈa d ʊ
veicular|v ˌeɪ k u l ˈa ɹ
veicularam|v ˌeɪ k u l ˈa ɾ ɐ̃ʊ̃
veiculação|v ˌeɪ k u l ɐ s ˈɐ̃ʊ̃
veiculo|v ˌeɪ k ˈu l ʊ
veiculou|v ˌeɪ k u l ˈo w
veiga|v ˈeɪ ɡ ɐ
veio|v ˈeɪ  ʊ
veio’|v ˈeɪ  ʊ
veiro|v ˈeɪ ɾ ʊ
veja|v ˈe ʒ ɐ
vejam|v ˈe ʒ ɐ̃ʊ̃
vejamos|v ˌe ʒ ˈɐ̃ m ʊ ʃ
vejo|v ˈe ʒ ʊ
vela|v ˈɛ l ɐ
velada|v ˌe l ˈa d ɐ
veladas|v ˌe l ˈa d ɐ ʃ
velado|v ˌe l ˈa d ʊ
velados|v ˌe l ˈa d ʊ ʃ
velas|v ˈe l ɐ ʃ
velasco|v ˌe l ˈa ʃ k ʊ
veleidades|v ˌe l eɪ d ˈa d ɨ ʃ
velejada|v ˌe l ɨ ʒ ˈa d ɐ
velejamos|v ˌe l ɨ ʒ ˈɐ̃ m ʊ ʃ
velejando|v ˌe l ɨ ʒ ˈɐ̃ ŋ d ʊ
velem|v ˈɛ l eɪ ŋ
velez|v ɨ l ˈe ʃ
velha|v ˈɛ ʎ ɐ
velhaco|v ˌe ʎ ˈa k ʊ
velharias|v ˌe ʎ ɐ ɾ ˈi  ɐ ʃ
velhas|v ˈe ʎ ɐ ʃ
velhense|v ˌe ʎ ˈeɪ ŋ s ɨ
velhice|v ˌe ʎ ˈi s ɨ
velhinha|v ˌe ʎ ˈi ɲ ɐ
velhinhos|v ˌe ʎ ˈi ɲ ʊ ʃ
velho|v ˈɛ ʎ ʊ
velhos|v ˈe ʎ ʊ ʃ
vella|v ˈɛ l ɐ
vellani|v ˌɛ l ɐ̃ n ˈi
vellefranche|v ˌɛ l ɨ f ɹ ˈɐ̃ ŋ ʃ ɨ
velloso|v ˌɛ l ˈo z ʊ
velmet|v ɨ l m ˈɛ tʃ
velo|v ˈɛ l ʊ
velocidades|v ˌɨ l u s i d ˈa d ɨ ʃ
velocidades’|v ˌɨ l u s i d ˈa d ɨ ʃ
velocidade”|v ˌɨ l u s i d ˈa d ɨ
velociraptores|v ˌɨ l u s ˌi ɾ ɐ p t ˈo ɾ ɨ ʃ
velocista|v ˌɨ l u s ˈi ʃ t ɐ
velocitta|v ˌɨ l u s ˈi t ɐ
velocípedes|v ˌe l u s ˈi p ɨ d ɨ ʃ
veloso|v ˌe l ˈo z ʊ
veloz|v ɨ l ˈɔ ʃ
velozes|v ˌe l ˈo z ɨ ʃ
velozo|v ˌe l ˈo z ʊ
velten|v ˈe l t eɪ ŋ
veludo|v ˌe l ˈu d ʊ
velázquez|v ˌe l ˈa ʃ k ɨ ʃ
velódromo|v ˌe l ˈɔ d ɹ u m ʊ
velório|v ˌe l ˈɔ ɾ j ʊ
vem|v ˈeɪ ŋ
vemos|v ˈe m ʊ ʃ
vem”|v ˈeɪ ŋ
vence|v ˈeɪ ŋ s ɨ
vencedor|v ˌeɪ ŋ s ɨ d ˈo ɹ
vencedora|v ˌeɪ ŋ s ɨ d ˈo ɾ ɐ
vencedores|v ˌeɪ ŋ s ɨ d ˈo ɾ ɨ ʃ
vencedor”|v ˌeɪ ŋ s ɨ d ˈo ɹ
vencemos|v ˌeɪ ŋ s ˈe m ʊ ʃ
vencendo|v ˌeɪ ŋ s ˈeɪ ŋ d ʊ
venceram|v ˌeɪ ŋ s ˈe ɾ ɐ̃ʊ̃
vencerem|v ˌeɪ ŋ s ˈe ɾ eɪ ŋ
venceremos|v ˌeɪ ŋ s ɨ ɾ ˈe m ʊ ʃ
venceria|v ˌeɪ ŋ s ɨ ɾ ˈi  ɐ
vencermos|v ˌeɪ ŋ s ˈe ɾ ə m ʊ ʃ
vencerá|v ˌeɪ ŋ s ɨ ɾ ˈa
vencer”|v eɪ ŋ s ˈe ɹ
vencesse|v ˌeɪ ŋ s ˈe s ɨ
venceu|v eɪ ŋ s ˈeʊ
venci|v eɪ ŋ s ˈi
vencia|v ˌeɪ ŋ s ˈi  ɐ
vencida|v ˌeɪ ŋ s ˈi d ɐ
vencidas|v ˌeɪ ŋ s ˈi d ɐ ʃ
vencimento|v ˌeɪ ŋ s i m ˈeɪ ŋ t ʊ
vencimentos|v ˌeɪ ŋ s i m ˈeɪ ŋ t ʊ ʃ
vencê|v eɪ ŋ s ˈe
venda|v ˈeɪ ŋ d ɐ
venda'|v ˈeɪ ŋ d ɐ
vendado|v ˌeɪ ŋ d ˈa d ʊ
vendas”|v ˈeɪ ŋ d ɐ ʃ
vendaval|v ˌeɪ ŋ d ɐ v ˈɑ l
vendavam|v ˌeɪ ŋ d ˈa v ɐ̃ʊ̃
venda”|v ˈeɪ ŋ d ɐ
vende|v ˈeɪ ŋ d ɨ
vendedor|v ˌeɪ ŋ d ɨ d ˈo ɹ
vendedora|v ˌeɪ ŋ d ɨ d ˈo ɾ ɐ
vendedoras|v ˌeɪ ŋ d ɨ d ˈo ɾ ɐ ʃ
vendedores|v ˌeɪ ŋ d ɨ d ˈo ɾ ɨ ʃ
vendem|v ˈeɪ ŋ d eɪ ŋ
vendendo|v ˌeɪ ŋ d ˈeɪ ŋ d ʊ
vender|v eɪ ŋ d ˈe ɹ
venderam|v ˌeɪ ŋ d ˈe ɾ ɐ̃ʊ̃
venderem|v ˌeɪ ŋ d ˈe ɾ eɪ ŋ
venderemse|v ˌeɪ ŋ d ɨ ɾ ˈeɪ m s ɨ
venderia|v ˌeɪ ŋ d ɨ ɾ ˈi  ɐ
venderiam|v ˌeɪ ŋ d ɨ ɾ ˈi  ɐ̃ʊ̃
vendes|v ˈeɪ ŋ d ɨ ʃ
vendesse|v ˌeɪ ŋ d ˈe s ɨ
vendeu|v eɪ ŋ d ˈeʊ
vendi|v eɪ ŋ d ˈi
vendia|v ˌeɪ ŋ d ˈi  ɐ
vendiam|v ˌeɪ ŋ d ˈi  ɐ̃ʊ̃
vendida|v ˌeɪ ŋ d ˈi d ɐ
vendidas|v ˌeɪ ŋ d ˈi d ɐ ʃ
vendido|v ˌeɪ ŋ d ˈi d ʊ
vendidos|v ˌeɪ ŋ d ˈi d ʊ ʃ
vendo|v ˈeɪ ŋ d ʊ
vendê|v eɪ ŋ d ˈe
venediktov|v ˌe n ɨ d i k t ˈo v
veneno|v ˌe n ˈe n ʊ
venenos|v ˌe n ˈe n ʊ ʃ
venenosa|v ˌe n ɨ n ˈɔ z ɐ
venenosas|v ˌe n ɨ n ˈo z ɐ ʃ
venenoso|v ˌe n ɨ n ˈo z ʊ
venerada|v ˌe n ɨ ɾ ˈa d ɐ
venerados|v ˌe n ɨ ɾ ˈa d ʊ ʃ
venerando|v ˌe n ɨ ɾ ˈɐ̃ ŋ d ʊ
venerar|v ˌe n ɨ ɾ ˈa ɹ
veneração|v ˌe n ɨ ɾ ɐ s ˈɐ̃ʊ̃
veneto|v ˌe n ˈe t ʊ
veneza|v ˌe n ˈe z ɐ
venezianas|v ˌe n ɨ z i  ˈɐ̃ n ɐ ʃ
veneziano|v ˌe n ɨ z i  ˈɐ̃ n ʊ
venezuela|v ˌe n ɨ z u ˈɛ l ɐ
venezuelana|v ˌe n ɨ z ˌu ɨ l ˈɐ̃ n ɐ
venezuelanas|v ˌe n ɨ z ˌu ɨ l ˈɐ̃ n ɐ ʃ
venezuelano|v ˌe n ɨ z ˌu ɨ l ˈɐ̃ n ʊ
venezuelanos|v ˌe n ɨ z ˌu ɨ l ˈɐ̃ n ʊ ʃ
venha|v ˈe ɲ ɐ
venham|v ˈe ɲ ɐ̃ʊ̃
venho|v ˈe ɲ ʊ
veni|v ɨ n ˈi
venislavskyi|v ˌe n i ʒ l ɐ v s k j ˈi
venosa|v ˌe n ˈɔ z ɐ
ventana|v ˌeɪ ŋ t ˈɐ̃ n ɐ
ventando|v ˌeɪ ŋ t ˈɐ̃ ŋ d ʊ
ventania|v ˌeɪ ŋ t ɐ n ˈi  ɐ
ventas|v ˈeɪ ŋ t ɐ ʃ
ventilada|v ˌeɪ ŋ t i l ˈa d ɐ
ventilado|v ˌeɪ ŋ t i l ˈa d ʊ
ventilador|v ˌeɪ ŋ t i l ɐ d ˈo ɹ
ventilados|v ˌeɪ ŋ t i l ˈa d ʊ ʃ
ventilação|v ˌeɪ ŋ t i l ɐ s ˈɐ̃ʊ̃
vento|v ˈeɪ ŋ t ʊ
ventoinha|v ˌeɪ ŋ t u ˈi ɲ ɐ
ventos|v ˈeɪ ŋ t ʊ ʃ
vento”|v ˈeɪ ŋ t ʊ
ventrell|v eɪ ŋ t ɹ ˈɛ l
ventríloquo|v ˌeɪ ŋ t ɹ ˈi l u k w ʊ
ventura|v ˌeɪ ŋ t ˈu ɾ ɐ
venture|v ˌeɪ ŋ t ˈu ɾ ɨ
venturi|v ˌeɪ ŋ t u ɾ ˈi
venus|v ɨ n ˈu ʃ
venuti|v ˌe n u t ˈi
venâncio|v ˌe n ˈɐ̃ ŋ s j ʊ
vença|v ˈeɪ ŋ s ɐ
vençam|v ˈeɪ ŋ s ɐ̃ʊ̃
venécia|v ˌe n ˈɛ s j ɐ
ver|v ˈe ɹ
vera|v ˈɛ ɾ ɐ
veracel|v ˌe ɾ ɐ s ˈɛ l
veracidade|v ˌe ɾ ɐ s i d ˈa d ɨ
veracruz|v ˌe ɾ ɐ k ɹ ˈu ʃ
veraneio|v ˌe ɾ ɐ n ˈeɪ  ʊ
veranicos|v ˌe ɾ ɐ n ˈi k ʊ ʃ
veranistas|v ˌe ɾ ɐ n ˈi ʃ t ɐ ʃ
verano|v ˌe ɾ ˈɐ̃ n ʊ
veras|v ˈe ɾ ɐ ʃ
verba|v ˈɛ ɾ ə b ɐ
verbais|v ɨ ɾ ə b ˈaɪ ʃ
verbal|v ɨ ɾ ə b ˈɑ l
verbalizar|v ˌe ɾ ə b ɐ l i z ˈa ɹ
verbalizações|v ˌe ɾ ə b ɐ l ˌi z ɐ s ˈõ j ʃ
verbalmente|v ɨ ɾ ə b ˌɑ l m ˈeɪ ŋ t ɨ
verbas|v ˈe ɾ ə b ɐ ʃ
verbo|v ˈɛ ɾ ə b ʊ
verbos|v ˈe ɾ ə b ʊ ʃ
verdade|v ˌe ɾ ə d ˈa d ɨ
verdade'|v ˌe ɾ ə d ˈa d ɨ
verdadeira|v ˌe ɾ ə d ɐ d ˈeɪ ɾ ɐ
verdadeiramente|v ˌe ɾ ə d ɐ d ˌeɪ ɾ ɐ m ˈeɪ ŋ t ɨ
verdadeiras|v ˌe ɾ ə d ɐ d ˈeɪ ɾ ɐ ʃ
verdadeiras»|v ˌe ɾ ə d ɐ d ˈeɪ ɾ ɐ ʃ
verdadeiro|v ˌe ɾ ə d ɐ d ˈeɪ ɾ ʊ
verdadeiros|v ˌe ɾ ə d ɐ d ˈeɪ ɾ ʊ ʃ
verdadeiro”|v ˌe ɾ ə d ɐ d ˈeɪ ɾ ʊ
verdades|v ˌe ɾ ə d ˈa d ɨ ʃ
verdade”|v ˌe ɾ ə d ˈa d ɨ
verdade…|v ˌe ɾ ə d ˈa d ɨ
verdan|v ɨ ɾ ə d ˈɐ̃ ŋ
verde|v ˈe ɾ ə d ɨ
verde+|v ˈe ɾ ə d ɨ m ˈaɪ ʃ
verdejantes|v ˌe ɾ ə d ɨ ʒ ˈɐ̃ ŋ t ɨ ʃ
verdelho|v ˌe ɾ ə d ˈe ʎ ʊ
verdes|v ˈe ɾ ə d ɨ ʃ
verde’|v ˈe ɾ ə d ɨ
verde”|v ˈe ɾ ə d ɨ
verdi|v ɨ ɾ ə d ˈi
verdiano|v ˌe ɾ ə d i  ˈɐ̃ n ʊ
verdianos|v ˌe ɾ ə d i  ˈɐ̃ n ʊ ʃ
verduras|v ˌe ɾ ə d ˈu ɾ ɐ ʃ
verdão|v ɨ ɾ ə d ˈɐ̃ʊ̃
vereador|v ˌe ɾ i  ɐ d ˈo ɹ
vereadora|v ˌe ɾ i  ɐ d ˈo ɾ ɐ
vereadores|v ˌe ɾ i  ɐ d ˈo ɾ ɨ ʃ
vereadores”|v ˌe ɾ i  ɐ d ˈo ɾ ɨ ʃ
vereança|v ˌe ɾ i  ˈɐ̃ ŋ s ɐ
verechtchuk|v ɨ ɾ ˌɛ ʃ t ʃ ˈu k
vereda|v ˌe ɾ ˈe d ɐ
veredas|v ˌe ɾ ˈe d ɐ ʃ
veredicto|v ˌe ɾ ɨ d ˈi t ʊ
veredictos|v ˌe ɾ ɨ d ˈi t ʊ ʃ
veredito|v ˌe ɾ ɨ d ˈi t ʊ
verei|v ɨ ɾ ˈeɪ
verem|v ˈe ɾ eɪ ŋ
veremos|v ˌe ɾ ˈe m ʊ ʃ
verena|v ˌe ɾ ˈe n ɐ
vereshchuk|v ˌe ɾ ɨ ʃ ʃ ˈu k
vergalhão|v ˌe ɾ ə ɡ ɐ ʎ ˈɐ̃ʊ̃
vergar|v ɨ ɾ ə ɡ ˈa ɹ
vergel|v ɨ ɾ ə ʒ ˈɛ l
vergonha|v ˌe ɾ ə ɡ ˈo ɲ ɐ
vergonhas”|v ˌe ɾ ə ɡ ˈo ɲ ɐ ʃ
vergonha”|v ˌe ɾ ə ɡ ˈo ɲ ɐ
vergonhosa|v ˌe ɾ ə ɡ u ɲ ˈɔ z ɐ
vergonhosas|v ˌe ɾ ə ɡ u ɲ ˈo z ɐ ʃ
vergonhoso|v ˌe ɾ ə ɡ u ɲ ˈo z ʊ
vergonhosos|v ˌe ɾ ə ɡ u ɲ ˈo z ʊ ʃ
vergou|v ɨ ɾ ə ɡ ˈo w
vergé|v ɨ ɾ ə ʒ ˈɛ
veria|v ˌe ɾ ˈi  ɐ
veriam|v ˌe ɾ ˈi  ɐ̃ʊ̃
veridiana|v ˌe ɾ i d i  ˈɐ̃ n ɐ
verifica|v ˌe ɾ i f ˈi k ɐ
verificada|v ˌe ɾ i f i k ˈa d ɐ
verificadas|v ˌe ɾ i f i k ˈa d ɐ ʃ
verificado|v ˌe ɾ i f i k ˈa d ʊ
verificador|v ˌe ɾ i f ˌi k ɐ d ˈo ɹ
verificados|v ˌe ɾ i f i k ˈa d ʊ ʃ
verificamos|v ˌe ɾ i f i k ˈɐ̃ m ʊ ʃ
verificando|v ˌe ɾ i f i k ˈɐ̃ ŋ d ʊ
verificar|v ˌe ɾ i f i k ˈa ɹ
verificaram|v ˌe ɾ i f i k ˈa ɾ ɐ̃ʊ̃
verificará|v ˌe ɾ i f ˌi k ɐ ɾ ˈa
verificarão|v ˌe ɾ i f ˌi k ɐ ɾ ˈɐ̃ʊ̃
verificava|v ˌe ɾ i f i k ˈa v ɐ
verificação|v ˌe ɾ i f ˌi k ɐ s ˈɐ̃ʊ̃
verificações|v ˌe ɾ i f ˌi k ɐ s ˈõ j ʃ
verifica”|v ˌe ɾ i f ˈi k ɐ
verifico|v ˌe ɾ i f ˈi k ʊ
verificou|v ˌe ɾ i f i k ˈo w
verificá|v ˌe ɾ i f i k ˈa
verifique|v ˌe ɾ i f ˈi k ɨ
verifiquei|v ˌe ɾ i f i k ˈeɪ
verifiquem|v ˌe ɾ i f ˈi k eɪ ŋ
verissimo|v ˌe ɾ i s ˈi m ʊ
verme|v ˈɛ ɾ ə m ɨ
vermelha|v ˌe ɾ ə m ˈe ʎ ɐ
vermelhas|v ˌe ɾ ə m ˈe ʎ ɐ ʃ
vermelhas”|v ˌe ɾ ə m ˈe ʎ ɐ ʃ
vermelha”|v ˌe ɾ ə m ˈe ʎ ɐ
vermelhidão|v ˌe ɾ ə m ɨ ʎ i d ˈɐ̃ʊ̃
vermelhinho|v ˌe ɾ ə m ɨ ʎ ˈi ɲ ʊ
vermelho|v ˌe ɾ ə m ˈe ʎ ʊ
vermelhos|v ˌe ɾ ə m ˈe ʎ ʊ ʃ
vermelhos”|v ˌe ɾ ə m ˈe ʎ ʊ ʃ
vermelho”|v ˌe ɾ ə m ˈe ʎ ʊ
vermifugados|v ˌe ɾ ə m i f u ɡ ˈa d ʊ ʃ
vermifugação|v ˌe ɾ ə m i f ˌu ɡ ɐ s ˈɐ̃ʊ̃
verminoses|v ˌe ɾ ə m i n ˈo z ɨ ʃ
vermont|v ɨ ɾ ə m ˈo ŋ t
vermos|v ˈe ɾ ə m ʊ ʃ
vernação|v ˌe ɾ ə n ɐ s ˈɐ̃ʊ̃
vernissage|v ˌe ɾ ə n i s ˈa ʒ ɨ
verniz|v ɨ ɾ ə n ˈi ʃ
vernon|v ɨ ɾ ə n ˈo ŋ
vernáculos|v ˌe ɾ ə n ˈa k u l ʊ ʃ
veron|v ɨ ɾ ˈo ŋ
veronesa|v ˌe ɾ u n ˈe z ɐ
veronese|v ˌe ɾ u n ˈɛ z ɨ
veronez|v ˌe ɾ u n ˈe ʃ
verossimilhança|v ˌe ɾ u s ˌi m i ʎ ˈɐ̃ ŋ s ɐ
verratti|v ˌe ʁ ɐ t ˈi
verri|v ɨ ʁ ˈi
versa|v ˈɛ ɾ ə s ɐ
versace|v ˌe ɾ ə s ˈa s ɨ
versalhes|v ˌe ɾ ə s ˈa ʎ ɨ ʃ
versatilidade|v ˌe ɾ ə s ɐ t ˌi l i d ˈa d ɨ
versava|v ˌe ɾ ə s ˈa v ɐ
versavam|v ˌe ɾ ə s ˈa v ɐ̃ʊ̃
vershinin|v ˌe ɾ ə ʃ i n ˈi n
verso|v ˈɛ ɾ ə s ʊ
versos|v ˈe ɾ ə s ʊ ʃ
versos”|v ˈɛ ɾ ə s ʊ ʃ
verstappen|v ˌe ɾ ə s t ˈa p eɪ ŋ
versus|v ɨ ɾ ə s ˈu ʃ
versáteis|v ˌe ɾ ə s ˈa t eɪ ʃ
versátil|v ˌe ɾ ə s ˈa t i l
versão|v ɨ ɾ ə s ˈɐ̃ʊ̃
versículo|v ˌe ɾ ə s ˈi k u l ʊ
versões|v ɨ ɾ ə s ˈõ j ʃ
vert|v ˈe ɾ ə t
vertebrados|v ˌe ɾ ə t ɨ b ɹ ˈa d ʊ ʃ
vertebral|v ˌe ɾ ə t ɨ b ɹ ˈɑ l
vertedouro|v ˌe ɾ ə t ɨ d ˈo w ɾ ʊ
vertente|v ˌe ɾ ə t ˈeɪ ŋ t ɨ
vertentes|v ˌe ɾ ə t ˈeɪ ŋ t ɨ ʃ
verticais|v ˌe ɾ ə t i k ˈaɪ ʃ
vertical|v ˌe ɾ ə t i k ˈɑ l
verticalização|v ˌe ɾ ə t i k ˌɐ l i z ɐ s ˈɐ̃ʊ̃
verticalmente|v ˌe ɾ ə t i k ˌɑ l m ˈeɪ ŋ t ɨ
vertiginosa|v ˌe ɾ ə t i ʒ i n ˈɔ z ɐ
vertiginosamente|v ˌe ɾ ə t i ʒ ˌi n u z ɐ m ˈeɪ ŋ t ɨ
vertigo”|v ˌe ɾ ə t ˈi ɡ ʊ
vertov|v ɨ ɾ ə t ˈo v
verusya|v ˌe ɾ ˈu z j ɐ
verá|v ɨ ɾ ˈa
verão|v ɨ ɾ ˈɐ̃ʊ̃
verãoinfelizmente|v ˌe ɾ ɐ̃ʊ̃ ˌi ŋ f ɨ l i ʒ m ˈeɪ ŋ t ɨ
veríamos|v ˌe ɾ ˈi  ɐ̃ m ʊ ʃ
