$|d ˈo l a
usilaaniwe|ˌu s i l ˌa a n ˈi w e
usile|u s ˈi l e
usilenge|ˌu s i l ˈe ŋ ɡ e
usilie|ˌu s i l ˈi e
usilistaajabie|ˌu s i l ˌi s t a ˌa ɟ a b ˈi e
usilolijua|ˌu s i l ˌo l i ɟ ˈu a
usimamapo|ˌu s i m a m ˈa p o
usimamiaji|ˌu s i m ˌa m i ˈa ɟ i
usimamo|ˌu s i m ˈa m o
usimbishaji|ˌu s i m b i ʃ ˈa ɟ i
usimchongee|ˌu s i m tʃ o ŋ ɡ ˈe e
usimdhanie|ˌu s i m ð a n ˈi e
usimdharau|ˌu s i m ð a r ˈa u
usimdhulumu|ˌu s i m ð u l ˈu m u
usimharibu|ˌu s i m h a r ˈi b u
usimhusudu|ˌu s i m h u s ˈu d u
usimimine|ˌu s i m i m ˈi n e
usimjaribu|ˌu s i m ɟ a r ˈi b u
usimjibu|ˌu s i m ɟ ˈi b u
usimkaribie|ˌu s i m  k ˌa r i b ˈi e
usimkaripie|ˌu s i m  k ˌa r i p ˈi e
usimlaani|ˌu s i m l a ˈa n i
usimnyang'anye|ˌu s i m ɲ a ŋ ˈa ɲ e
usimnyime|ˌu s i m ɲ ˈi m e
usimsadiki|ˌu s i m s a d ˈi k i
usimshuhudie|ˌu s i m ʃ ˌu h u d ˈi e
usimsumbue|ˌu s i m s u m b ˈu e
usimtaje|ˌu s i m t ˈa ɟ e
usimtazame|ˌu s i m t a z ˈa m e
usimwache|ˌu s i m w ˈa tʃ e
usimwage|ˌu s i m w ˈa ɡ e
usimwambie|ˌu s i m w a m b ˈi e
usimwangalie|ˌu s i m w ˌa ŋ ɡ a l ˈi e
usimwangamize|ˌu s i m w ˌa ŋ ɡ a m ˈi z e
usimwogope|ˌu s i m w o ɡ ˈo p e
usimzuilie|ˌu s i m z ˌu i l ˈi e
usinaswe|ˌu s i n ˈa s w e
usindi|u s ˈi n d i
usindikaji|ˌu s i n d i k ˈa ɟ i
usindikizwe|ˌu s i n d i k ˈi z w e
usingalionja|ˌu s i ŋ ɡ ˌa l i ˈo ɲ ɟ a
usingefanya|ˌu s i ŋ ɡ e f ˈa ɲ a
usingeweza|ˌu s i ŋ ɡ e w ˈe z a
usingizi|ˌu s i ŋ ɡ ˈi z i
usingizihivyo|ˌu s i ŋ ɡ ˌi z i h ˈi v j o
usingizini|ˌu s i ŋ ɡ i z ˈi n i
usini|u s ˈi n i
usinikaribie|ˌu s i n ˌi k a r i b ˈi e
usininyime|ˌu s i n i ɲ ˈi m e
usinipe|ˌu s i n ˈi p e
usinipite|ˌu s i n i p ˈi t e
usinisahau|ˌu s i n ˌi s a h ˈa u
usinitaabishe|ˌu s i n ˌi t a a b ˈi ʃ e
usinitazame|ˌu s i n ˌi t a z ˈa m e
usinitendee|ˌu s i n ˌi t e n d ˈe e
usinitese|ˌu s i n i t ˈe s e
usiniulize|ˌu s i n ˌi u l ˈi z e
usio|u s ˈi o
usioachwa|ˌu s i o ˈa tʃ w a
usioaminika|ˌu s i ˌo a m i n ˈi k a
usioelekezwa|ˌu s i ˌo e l e k ˈe z w a
usioelemea|ˌu s i ˌo e l e m ˈe a
usioelezeka|ˌu s i ˌo e l e z ˈe k a
usiofaa|ˌu s i o f ˈa a
usiofunikwa|ˌu s i ˌo f u n ˈi k w a
usiofura|ˌu s i o f ˈu r a
usiogope|ˌu s i o ɡ ˈo p e
usiohesabika|ˌu s i ˌo h e s a b ˈi k a
usiohusisha|ˌu s i ˌo h u s ˈi ʃ a
usioisha|ˌu s i o ˈi ʃ a
usiojaa|ˌu s i o ɟ ˈa a
usiojali|ˌu s i o ɟ ˈa l i
usiojulikana|ˌu s i ˌo ɟ u l i k ˈa n a
usiokuwa|ˌu s i o k ˈu w a
usiokuwepo|ˌu s i ˌo k u w ˈe p o
usiondoke|ˌu s i o n d ˈo k e
usione|ˌu s i ˈo n e
usioneneka|ˌu s i ˌo n e n ˈe k a
usiongee|ˌu s i o ŋ ɡ ˈe e
usiongeze|ˌu s i o ŋ ɡ ˈe z e
usioni|ˌu s i ˈo n i
usionyoka|ˌu s i o ɲ ˈo k a
usioonekana|ˌu s i ˌo o n e k ˈa n a
usiooza|ˌu s i o ˈo z a
usiopatikana|ˌu s i ˌo p a t i k ˈa n a
usiopingika|ˌu s i ˌo p i ŋ ɡ ˈi k a
usiosababisha|ˌu s i ˌo s a b a b ˈi ʃ a
usiosema|ˌu s i o s ˈe m a
usioshe|ˌu s i ˈo ʃ e
usiotakiwa|ˌu s i ˌo t a k ˈi w a
usiotenda|ˌu s i o t ˈe n d a
usiotumika|ˌu s i ˌo t u m ˈi k a
usioujua|ˌu s i ˌo u ɟ ˈu a
usiovutwa|ˌu s i o v ˈu t w a
usiowamiliki|ˌu s i ˌo w a m i l ˈi k i
usiozaa|ˌu s i o z ˈa a
usiozidi|ˌu s i o z ˈi d i
usiozimika|ˌu s i ˌo z i m ˈi k a
usipaharibu|ˌu s i p ˌa h a r ˈi b u
usipate|ˌu s i p ˈa t e
usipende|ˌu s i p ˈe n d e
usipige|ˌu s i p ˈi ɡ e
usipite|ˌu s i p ˈi t e
usipofahamu|ˌu s i p ˌo f a h ˈa m u
usipoharakisha|ˌu s i p ˌo h a r a k ˈi ʃ a
usipojiponya|ˌu s i p ˌo ɟ i p ˈo ɲ a
usipojua|ˌu s i p o ɟ ˈu a
usipomrudisha|ˌu s i p ˌo m  r u d ˈi ʃ a
usipopanda|ˌu s i p o p ˈa n d a
usiposoma|ˌu s i p o s ˈo m a
usipotee|ˌu s i p o t ˈe e
usipotenda|ˌu s i p o t ˈe n d a
usipoteze|ˌu s i p o t ˈe z e
usipozaa|ˌu s i p o z ˈa a
usiri|u s ˈi r i
usisahau|ˌu s i s a h ˈa u
usiseme|ˌu s i s ˈe m e
usishangilie|ˌu s i ʃ ˌa ŋ ɡ i l ˈi e
usishindane|ˌu s i ʃ i n d ˈa n e
usishindwe|ˌu s i ʃ ˈi n d w e
usishirikiane|ˌu s i ʃ ˌi r i k i ˈa n e
usishuhudie|ˌu s i ʃ ˌu h u d ˈi e
usisimame|ˌu s i s i m ˈa m e
usisimkaji|ˌu s i s i m  k ˈa ɟ i
usisimuaji|ˌu s i s ˌi m u ˈa ɟ i
usisimuzi|ˌu s i s i m ˈu z i
usisite|ˌu s i s ˈi t e
usisugue|ˌu s i s u ɡ ˈu e
usitajwe|ˌu s i t ˈa ɟ u e
usitake|ˌu s i t ˈa k e
usitamani|ˌu s i t a m ˈa n i
usitawi|ˌu s i t ˈa w i
usitazame|ˌu s i t a z ˈa m e
usitembee|ˌu s i t e m b ˈe e
usithubutu|ˌu s i θ u b ˈu t u
usitie|ˌu s i t ˈi e
usitishwaji|ˌu s i t i ʃ w ˈa ɟ i
usitishwe|ˌu s i t ˈi ʃ w e
usitoke|ˌu s i t ˈo k e
usitokee|ˌu s i t o k ˈe e
usitumie|ˌu s i t u m ˈi e
usitutie|ˌu s i t u t ˈi e
usiue|ˌu s i ˈu e
usiukaribie|ˌu s i ˌu k a r i b ˈi e
usiukumbuke|ˌu s i ˌu k u m b ˈu k e
usiuondoe|ˌu s i ˌu o n d ˈo e
usiusahau|ˌu s i ˌu s a h ˈa u
usiutamani|ˌu s i ˌu t a m ˈa n i
usiuzuie|ˌu s i ˌu z u ˈi e
usivitamani|ˌu s i v ˌi t a m ˈa n i
usivuke|ˌu s i v ˈu k e
usivurugwe|ˌu s i v u r ˈu ɡ w e
usiwaache|ˌu s i w a ˈa tʃ e
usiwaambie|ˌu s i w ˌa a m b ˈi e
usiwachongee|ˌu s i w ˌa tʃ o ŋ ɡ ˈe e
usiwachukize|ˌu s i w ˌa tʃ u k ˈi z e
usiwafanyie|ˌu s i w ˌa f a ɲ ˈi e
usiwahi|ˌu s i w ˈa h i
usiwahusudu|ˌu s i w ˌa h u s ˈu d u
usiwaite|ˌu s i w a ˈi t e
usiwakataze|ˌu s i w ˌa k a t ˈa z e
usiwalaani|ˌu s i w ˌa l a ˈa n i
usiwanyime|ˌu s i w a ɲ ˈi m e
usiwape|ˌu s i w ˈa p e
usiwasamehe|ˌu s i w ˌa s a m ˈe h e
usiwasameheingia|ˌu s i w ˌa s a m ˌe h e i ŋ ɡ ˈi a
usiwatoshe|ˌu s i w a t ˈo ʃ e
usiwaze|ˌu s i w ˈa z e
usiwe|u s ˈi w e
usiweke|ˌu s i w ˈe k e
usiweme|ˌu s i w ˈe m e
usiwepo|ˌu s i w ˈe p o
usiweze|ˌu s i w ˈe z e
usiyaangalie|ˌu s i j ˌa a ŋ ɡ a l ˈi e
usiyakatae|ˌu s i j ˌa k a t ˈa e
usiyale|ˌu s i j ˈa l e
usiyaogope|ˌu s i j ˌa o ɡ ˈo p e
usiye|u s ˈi j e
usiyekuwa|ˌu s i j e k ˈu w a
usiyetulizwa|ˌu s i j ˌe t u l ˈi z w a
usiyezaa|ˌu s i j e z ˈa a
usiyo|u s ˈi j o
usiyoweza|ˌu s i j o w ˈe z a
usiyoyajua|ˌu s i j ˌo j a ɟ ˈu a
usizidi|ˌu s i z ˈi d i
usizielekee|ˌu s i z ˌi e l e k ˈe e
usizitegemee|ˌu s i z ˌi t e ɡ e m ˈe e
usizuie|ˌu s i z u ˈi e
uskoti|u s  k ˈo t i
uskufu|u s  k ˈu f u
usl|ˈu s l
usmakumeme|ˌu s  m a k u m ˈe m e
uso|ˈu s o
usogezwaji|ˌu s o ɡ e z w ˈa ɟ i
usomaji|ˌu s o m ˈa ɟ i
usomi|u s ˈo m i
usoni|u s ˈo n i
usonji|u s ˈo ɲ ɟ i
usovieti|ˌu s o v i ˈe t i
usovyeti|ˌu s o v j ˈe t i
uspanyola|ˌu s p a ɲ ˈo l a
ustaarabu|ˌu s t a a r ˈa b u
ustadi|u s t ˈa d i
ustadi”|u s t ˈa d i
ustahimili|ˌu s t a h i m ˈi l i
ustarabu|ˌu s t a r ˈa b u
ustarehe|ˌu s t a r ˈe h e
ustawi|u s t ˈa w i
ustawishaji|ˌu s t a w i ʃ ˈa ɟ i
usubiri|ˌu s u b ˈi r i
usugu|u s ˈu ɡ u
usukani|ˌu s u k ˈa n i
usukari|ˌu s u k ˈa r i
usultani|ˌu s u l t ˈa n i
usuluhishi|ˌu s u l u h ˈi ʃ i
usuluhisho|ˌu s u l u h ˈi ʃ o
usumaku|ˌu s u m ˈa k u
usumbufu|ˌu s u m b ˈu f u
usurped|u s ˈu r p e d
ususiaji|ˌu s u s i ˈa ɟ i
uswahili|ˌu s w a h ˈi l i
uswazi|u s w ˈa z i
uswidi|u s w ˈi d i
uswisi|u s w ˈi s i
uswizi|u s w ˈi z i
ut|ˈu t
utaacha|ˌu t a ˈa tʃ a
utaachwa|ˌu t a ˈa tʃ w a
utaalam|ˌu t a ˈa l a m
utaalamu|ˌu t a a l ˈa m u
utaangalia|ˌu t a ˌa ŋ ɡ a l ˈi a
utaangamia|ˌu t a ˌa ŋ ɡ a m ˈi a
utaanguka|ˌu t a a ŋ ɡ ˈu k a
utaanza|ˌu t a ˈa n z a
utaapa|ˌu t a ˈa p a
utabibu|ˌu t a b ˈi b u
utabiri|ˌu t a b ˈi r i
utachanua|ˌu t a tʃ a n ˈu a
utachukua|ˌu t a tʃ u k ˈu a
utadhani|ˌu t a ð ˈa n i
utadharauliwa|ˌu t a ð ˌa r a u l ˈi w a
utadhihirika|ˌu t a ð ˌi h i r ˈi k a
utadhilika|ˌu t a ð i l ˈi k a
utadumu|ˌu t a d ˈu m u
utaelewa|ˌu t a e l ˈe w a
utaenda|ˌu t a ˈe n d a
utaendelea|ˌu t a ˌe n d e l ˈe a
utaenea|ˌu t a e n ˈe a
utafahamu|ˌu t a f a h ˈa m u
utafaidika|ˌu t a f ˌa i d ˈi k a
utafanuliwa|ˌu t a f ˌa n u l ˈi w a
utafanya|ˌu t a f ˈa ɲ a
utafanyia|ˌu t a f a ɲ ˈi a
utafanyika|ˌu t a f a ɲ ˈi k a
utafanyiwa|ˌu t a f a ɲ ˈi w a
utafaulu|ˌu t a f a ˈu l u
utafauti|ˌu t a f a ˈu t i
utafichwa|ˌu t a f ˈi tʃ w a
utafika|ˌu t a f ˈi k a
utafikia|ˌu t a f i k ˈi a
utafiti|ˌu t a f ˈi t i
utafsiri|ˌu t a f s ˈi r i
utafuatwa|ˌu t a f u ˈa t w a
utafunguka|ˌu t a f u ŋ ɡ ˈu k a
utafungwa|ˌu t a f ˈu ŋ ɡ w a
utafunuliwa|ˌu t a f ˌu n u l ˈi w a
utafurahi|ˌu t a f u r ˈa h i
utafurahia|ˌu t a f ˌu r a h ˈi a
utafutaji|ˌu t a f u t ˈa ɟ i
utafute|ˌu t a f ˈu t e
utafuteni|ˌu t a f u t ˈe n i
utagaji|ˌu t a ɡ ˈa ɟ i
utageuzwa|ˌu t a ɡ e ˈu z w a
utagundua|ˌu t a ɡ u n d ˈu a
utah|ˈu t a h
utaharibiwa|ˌu t a h ˌa r i b ˈi w a
utaharibu|ˌu t a h a r ˈi b u
utahesabika|ˌu t a h ˌe s a b ˈi k a
utahisi|ˌu t a h ˈi s i
utahitaji|ˌu t a h i t ˈa ɟ i
utahusisha|ˌu t a h u s ˈi ʃ a
utaichukua|ˌu t a ˌi tʃ u k ˈu a
utaifa|ˌu t a ˈi f a
utaifadi|ˌu t a i f ˈa d i
utaifikicha|ˌu t a ˌi f i k ˈi tʃ a
utaifishaji|ˌu t a ˌi f i ʃ ˈa ɟ i
utaiinua|ˌu t a ˌi i n ˈu a
utaijua|ˌu t a i ɟ ˈu a
utailemea|ˌu t a ˌi l e m ˈe a
utaimba|ˌu t a ˈi m b a
utaimbwa|ˌu t a ˈi m b w a
utaingia|ˌu t a i ŋ ɡ ˈi a
utainuliwa|ˌu t a ˌi n u l ˈi w a
utaipenda|ˌu t a i p ˈe n d a
utaipokea|ˌu t a ˌi p o k ˈe a
utaisahau|ˌu t a ˌi s a h ˈa u
utaishi|ˌu t a ˈi ʃ i
utaita|ˌu t a ˈi t a
utaitwa|ˌu t a ˈi t w a
utajengwa|ˌu t a ɟ ˈe ŋ ɡ w a
utaji|u t ˈa ɟ i
utajiepusha|ˌu t a ɟ ˌi e p ˈu ʃ a
utajifungia|ˌu t a ɟ ˌi f u ŋ ɡ ˈi a
utajifunza|ˌu t a ɟ i f ˈu n z a
utajiharibu|ˌu t a ɟ ˌi h a r ˈi b u
utajijri|ˌu t a ɟ ˈi ɟ  r i
utajiokoa|ˌu t a ɟ ˌi o k ˈo a
utajiri|ˌu t a ɟ ˈi r i
utajiri/kipato|ˌu t a ɟ ˈi r i (en) s l ˈa ʃ (sw)  k i p ˈa t o
utajitukuza|ˌu t a ɟ ˌi t u k ˈu z a
utajivika|ˌu t a ɟ i v ˈi k a
utajizuia|ˌu t a ɟ ˌi z u ˈi a
utajua|ˌu t a ɟ ˈu a
utajulikana|ˌu t a ɟ ˌu l i k ˈa n a
utakachofanya|ˌu t a k ˌa tʃ o f ˈa ɲ a
utakachogharimiwa|ˌu t a k ˌa tʃ o ɣ ˌa r i m ˈi w a
utakachosema|ˌu t a k ˌa tʃ o s ˈe m a
utakachowambia|ˌu t a k ˌa tʃ o w a m b ˈi a
utakakokwenda|ˌu t a k ˌa k o k w ˈe n d a
utakaliwa|ˌu t a k a l ˈi w a
utakalolipata|ˌu t a k ˌa l o l i p ˈa t a
utakalolishika|ˌu t a k ˌa l o l i ʃ ˈi k a
utakalopita|ˌu t a k ˌa l o p ˈi t a
utakamilika|ˌu t a k ˌa m i l ˈi k a
utakamilisha|ˌu t a k ˌa m i l ˈi ʃ a
utakanyagwa|ˌu t a k a ɲ ˈa ɡ w a
utakaochukuliwa|ˌu t a k ˌa o tʃ ˌu k u l ˈi w a
utakaodumu|ˌu t a k ˌa o d ˈu m u
utakaofuatwa|ˌu t a k ˌa o f u ˈa t w a
utakaofunuliwa|ˌu t a k ˌa o f ˌu n u l ˈi w a
utakaoinuka|ˌu t a k ˌa o i n ˈu k a
utakaojitokeza|ˌu t a k ˌa o ɟ ˌi t o k ˈe z a
utakaokamilika|ˌu t a k ˌa o k ˌa m i l ˈi k a
utakaokuja|ˌu t a k ˌa o k ˈu ɟ a
utakaokuwepo|ˌu t a k ˌa o k u w ˈe p o
utakaomjilia|ˌu t a k ˌa o m ɟ i l ˈi a
utakaomtawalia|ˌu t a k ˌa o m t ˌa w a l ˈi a
utakaomwelekeza|ˌu t a k ˌa o m w ˌe l e k ˈe z a
utakaonyesha|ˌu t a k ˌa o ɲ ˈe ʃ a
utakaosafirisha|ˌu t a k ˌa o s ˌa f i r ˈi ʃ a
utakaotenda|ˌu t a k ˌa o t ˈe n d a
utakaowateketeza|ˌu t a k ˌa o w ˌa t e k e t ˈe z a
utakaowazaa|ˌu t a k ˌa o w a z ˈa a
utakaozifaa|ˌu t a k ˌa o z i f ˈa a
utakapoamua|ˌu t a k ˌa p o a m ˈu a
utakapoangamia|ˌu t a k ˌa p o ˌa ŋ ɡ a m ˈi a
utakapoangamiaukasema|ˌu t a k ˌa p o ˌa ŋ ɡ a m ˌi a ˌu k a s ˈe m a
utakapoanza|ˌu t a k ˌa p o ˈa n z a
utakapofahamu|ˌu t a k ˌa p o f a h ˈa m u
utakapofanya|ˌu t a k ˌa p o f ˈa ɲ a
utakapofika|ˌu t a k ˌa p o f ˈi k a
utakapofikakwa|ˌu t a k ˌa p o f i k ˈa k w a
utakapoilima|ˌu t a k ˌa p o i l ˈi m a
utakapoingia|ˌu t a k ˌa p o i ŋ ɡ ˈi a
utakapoirudia|ˌu t a k ˌa p o ˌi r u d ˈi a
utakapoisha|ˌu t a k ˌa p o ˈi ʃ a
utakapojifurahisha|ˌu t a k ˌa p o ɟ ˌi f u r a h ˈi ʃ a
utakapoketi|ˌu t a k ˌa p o k ˈe t i
utakapokuja|ˌu t a k ˌa p o k ˈu ɟ a
utakapokuja’|ˌu t a k ˌa p o k ˈu ɟ a
utakapokula|ˌu t a k ˌa p o k ˈu l a
utakapokuwa|ˌu t a k ˌa p o k ˈu w a
utakapokwenda|ˌu t a k ˌa p o k w ˈe n d a
utakapokwisha|ˌu t a k ˌa p o k w ˈi ʃ a
utakapolia|ˌu t a k ˌa p o l ˈi a
utakapomwachisha|ˌu t a k ˌa p o m w a tʃ ˈi ʃ a
utakapoona|ˌu t a k ˌa p o ˈo n a
utakapoondoka|ˌu t a k ˌa p o o n d ˈo k a
utakapoongoka|ˌu t a k ˌa p o o ŋ ɡ ˈo k a
utakaposema|ˌu t a k ˌa p o s ˈe m a
utakatifu|ˌu t a k a t ˈi f u
utakatiliwa|ˌu t a k ˌa t i l ˈi w a
utakatwa|ˌu t a k ˈa t w a
utakauka|ˌu t a k a ˈu k a
utakavyo|ˌu t a k ˈa v j o
utakavyoifanya|ˌu t a k ˌa v j o i f ˈa ɲ a
utakavyokaa|ˌu t a k ˌa v j o k ˈa a
utakavyokuwa|ˌu t a k ˌa v j o k ˈu w a
utakavyopata|ˌu t a k ˌa v j o p ˈa t a
utakayokuta|ˌu t a k ˌa j o k ˈu t a
utakayonifanyia|ˌu t a k ˌa j o n ˌi f a ɲ ˈi a
utakayoona|ˌu t a k ˌa j o ˈo n a
utakayotenda|ˌu t a k ˌa j o t ˈe n d a
utakazotumia|ˌu t a k ˌa z o t u m ˈi a
utakiona|ˌu t a k i ˈo n a
utakosekana|ˌu t a k ˌo s e k ˈa n a
utakuangukia|ˌu t a k ˌu a ŋ ɡ u k ˈi a
utakufa|ˌu t a k ˈu f a
utakufuata|ˌu t a k ˌu f u ˈa t a
utakufunika|ˌu t a k ˌu f u n ˈi k a
utakuhifadhi|ˌu t a k ˌu h i f ˈa ð i
utakuhifadhiili|ˌu t a k ˌu h i f ˌa ð i ˈi l i
utakuja|ˌu t a k ˈu ɟ a
utakujia|ˌu t a k u ɟ ˈi a
utakula|ˌu t a k ˈu l a
utakumbukwa|ˌu t a k u m b ˈu k w a
utakuogopa|ˌu t a k ˌu o ɡ ˈo p a
utakupata|ˌu t a k u p ˈa t a
utakuponda|ˌu t a k u p ˈo n d a
utakuta|ˌu t a k ˈu t a
utakutana|ˌu t a k u t ˈa n a
utakuwa|ˌu t a k ˈu w a
utakuwasilia|ˌu t a k ˌu w a s i l ˈi a
utakuzwa|ˌu t a k ˈu z w a
utakwenda|ˌu t a k w ˈe n d a
utal|ˈu t a l
utalala|ˌu t a l ˈa l a
utalazimika|ˌu t a l ˌa z i m ˈi k a
utalegea|ˌu t a l e ɡ ˈe a
utaleta|ˌu t a l ˈe t a
utalia|ˌu t a l ˈi a
utaliangalia|ˌu t a l ˌi a ŋ ɡ a l ˈi a
utalii|ˌu t a l ˈi i
utaliiwa|ˌu t a l i ˈi w a
utalijadili|ˌu t a l ˌi ɟ a d ˈi l i
utalipwa|ˌu t a l ˈi p w a
utalitapika|ˌu t a l ˌi t a p ˈi k a
utalitazama|ˌu t a l ˌi t a z ˈa m a
utamadini|ˌu t a m a d ˈi n i
utamadni|ˌu t a m ˈa d n i
utamaduni|ˌu t a m a d ˈu n i
utamalaki|ˌu t a m a l ˈa k i
utambazi|ˌu t a m b ˈa z i
utambi|u t ˈa m b i
utambue|ˌu t a m b ˈu e
utambulishaji|ˌu t a m b ˌu l i ʃ ˈa ɟ i
utambulisho|ˌu t a m b u l ˈi ʃ o
utambulzi|ˌu t a m b ˈu l z i
utambuzi|ˌu t a m b ˈu z i
utamea|ˌu t a m ˈe a
utamfaa|ˌu t a m f ˈa a
utamfurahia|ˌu t a m f ˌu r a h ˈi a
utamiliki|ˌu t a m i l ˈi k i
utamkiri|ˌu t a m  k ˈi r i
utamla|u t ˈa m l a
utamlilia|ˌu t a m l i l ˈi a
utamlinda|ˌu t a m l ˈi n d a
utampalia|ˌu t a m p a l ˈi a
utampata|ˌu t a m p ˈa t a
utampiga|ˌu t a m p ˈi ɡ a
utamponda|ˌu t a m p ˈo n d a
utamtambua|ˌu t a m t a m b ˈu a
utamtenda|ˌu t a m t ˈe n d a
utamtia|ˌu t a m t ˈi a
utamu|u t ˈa m u
utamuu|ˌu t a m ˈu u
utamuumiza|ˌu t a m ˌu u m ˈi z a
utamwezesha|ˌu t a m w e z ˈe ʃ a
utamwita|ˌu t a m w ˈi t a
utan|ˈu t a n
utandawazi|ˌu t a n d a w ˈa z i
utando|u t ˈa n d o
utandotelezi|ˌu t a n d ˌo t e l ˈe z i
utandoutelezi|ˌu t a n d ˌo u t e l ˈe z i
utanena|ˌu t a n ˈe n a
utanför|u t ˈa n f o r
utangamano|ˌu t a ŋ ɡ a m ˈa n o
utangazaji|ˌu t a ŋ ɡ a z ˈa ɟ i
utangenezaji|ˌu t a ŋ ɡ ˌe n e z ˈa ɟ i
utangoja|ˌu t a ŋ ɡ ˈo ɟ a
utangulizi|ˌu t a ŋ ɡ u l ˈi z i
utani|u t ˈa n i
utaniambia|ˌu t a n ˌi a m b ˈi a
utanihitaji|ˌu t a n ˌi h i t ˈa ɟ i
utanikana|ˌu t a n i k ˈa n a
utaniongoza|ˌu t a n ˌi o ŋ ɡ ˈo z a
utanionyesha|ˌu t a n ˌi o ɲ ˈe ʃ a
utanipa|ˌu t a n ˈi p a
utanitendea|ˌu t a n ˌi t e n d ˈe a
utanpå|u t ˈa n p a
utantill|u t ˈa n t i l l
utanyamaza|ˌu t a ɲ a m ˈa z a
utanyonya|ˌu t a ɲ ˈo ɲ a
utao|u t ˈa o
utaokoka|ˌu t a o k ˈo k a
utaomba|ˌu t a ˈo m b a
utaonana|ˌu t a o n ˈa n a
utaondoka|ˌu t a o n d ˈo k a
utaonekana|ˌu t a ˌo n e k ˈa n a
utaongeza|ˌu t a o ŋ ɡ ˈe z a
utaongezeka|ˌu t a ˌo ŋ ɡ e z ˈe k a
utapaa|ˌu t a p ˈa a
utapata|ˌu t a p ˈa t a
utapatikana|ˌu t a p ˌa t i k ˈa n a
utapatwa|ˌu t a p ˈa t w a
utapeli|ˌu t a p ˈe l i
utapenda|ˌu t a p ˈe n d a
utapenelea|ˌu t a p ˌe n e l ˈe a
utapia|ˌu t a p ˈi a
utapiamlo|ˌu t a p i ˈa m l o
utapiamulo|ˌu t a p ˌi a m ˈu l o
utapitia|ˌu t a p i t ˈi a
utapona|ˌu t a p ˈo n a
utaporomoka|ˌu t a p ˌo r o m ˈo k a
utapungua|ˌu t a p u ŋ ɡ ˈu a
utapunguka|ˌu t a p u ŋ ɡ ˈu k a
utaratibu|ˌu t a r a t ˈi b u
utarekodi|ˌu t a r e k ˈo d i
utaridi|ˌu t a r ˈi d i
utarmas|u t ˈa r m a s
utarudi|ˌu t a r ˈu d i
utasababisha|ˌu t a s ˌa b a b ˈi ʃ a
utasahauliwa|ˌu t a s ˌa h a u l ˈi w a
utasaidia|ˌu t a s ˌa i d ˈi a
utasema|ˌu t a s ˈe m a
utashangaa|ˌu t a ʃ a ŋ ɡ ˈa a
utashawishi|ˌu t a ʃ a w ˈi ʃ i
utashiba|ˌu t a ʃ ˈi b a
utashinda|ˌu t a ʃ ˈi n d a
utashirikiana|ˌu t a ʃ ˌi r i k i ˈa n a
utashukia|ˌu t a ʃ u k ˈi a
utashushwa|ˌu t a ʃ ˈu ʃ w a
utasikia|ˌu t a s i k ˈi a
utasimama|ˌu t a s i m ˈa m a
utasimamaje|ˌu t a s ˌi m a m ˈa ɟ e
utastaajabu|ˌu t a s t ˌa a ɟ ˈa b u
utasugua|ˌu t a s u ɡ ˈu a
utata|u t ˈa t a
utatabiri|ˌu t a t a b ˈi r i
utatafakari|ˌu t a t ˌa f a k ˈa r i
utatahayari|ˌu t a t ˌa h a j ˈa r i
utatakaswa|ˌu t a t a k ˈa s w a
utatalii|ˌu t a t a l ˈi i
utatambua|ˌu t a t a m b ˈu a
utatambuliwa|ˌu t a t ˌa m b u l ˈi w a
utatangulia|ˌu t a t ˌa ŋ ɡ u l ˈi a
utatanishi|ˌu t a t a n ˈi ʃ i
utatawala|ˌu t a t a w ˈa l a
utateketeza|ˌu t a t ˌe k e t ˈe z a
utatelemka|ˌu t a t e l ˈe m k a
utateleza|ˌu t a t e l ˈe z a
utatembelea|ˌu t a t ˌe m b e l ˈe a
utatenda|ˌu t a t ˈe n d a
utatetemeka|ˌu t a t ˌe t e m ˈe k a
utathibitika|ˌu t a θ ˌi b i t ˈi k a
utathibitishwa|ˌu t a θ ˌi b i t ˈi ʃ w a
utatia|ˌu t a t ˈi a
utatimiza|ˌu t a t i m ˈi z a
utatoka|ˌu t a t ˈo k a
utatokea|ˌu t a t o k ˈe a
utatoweka|ˌu t a t o w ˈe k a
utatu|u t ˈa t u
utatuamuria|ˌu t a t ˌu a m u r ˈi a
utatulia|ˌu t a t u l ˈi a
utatumia|ˌu t a t u m ˈi a
utatumika|ˌu t a t u m ˈi k a
utatumikia|ˌu t a t ˌu m i k ˈi a
utatunga|ˌu t a t ˈu ŋ ɡ a
utatupa|ˌu t a t ˈu p a
utatuzi|ˌu t a t ˈu z i
utaua|ˌu t a ˈu a
utauangukia|ˌu t a ˌu a ŋ ɡ u k ˈi a
utauawa|ˌu t a u ˈa w a
utauhukumu|ˌu t a ˌu h u k ˈu m u
utaukanyaga|ˌu t a ˌu k a ɲ ˈa ɡ a
utaulizwa|ˌu t a u l ˈi z w a
utaungana|ˌu t a u ŋ ɡ ˈa n a
utaungua|ˌu t a u ŋ ɡ ˈu a
utaushusha|ˌu t a u ʃ ˈu ʃ a
utav|ˈu t a v
utavikazia|ˌu t a v ˌi k a z ˈi a
utawaangamiza|ˌu t a w ˌa a ŋ ɡ a m ˈi z a
utawachukua|ˌu t a w ˌa tʃ u k ˈu a
utawachukulia|ˌu t a w ˌa tʃ u k u l ˈi a
utawafanya|ˌu t a w a f ˈa ɲ a
utawala|ˌu t a w ˈa l a
